entrez	symbol	chromosome	tstart	tend
476	ATP1A1	chr1	116384014	116403977
477	ATP1A2	chr1	160120906	160139986
480	ATP1A4	chr1	160152041	160186369
493	ATP2B4	chr1	203683206	203739851
495	ATP4A	chr19	35550832	35563527
496	ATP4B	chr13	113649377	113658144
509	ATP5F1C	chr10	7788208	7802855
513	ATP5F1D	chr19	1241851	1244434
516	ATP5MC1	chr17	48894372	48895766
517	ATP5MC2	chr12	53665317	53676192
518	ATP5MC3	chr2	175178291	175180178
522	ATP5PF	chr21	25725227	25729800
538	ATP7A	chrX	77971642	78046567
540	ATP7B	chr13	51934759	52011337
546	ATRX	chrX	77508354	77717245
551	AVP	chr20	3082633	3084674
552	AVPR1A	chr12	63147362	63150836
553	AVPR1B	chr1	206110192	206116890
554	AVPR2	chrX	153905531	153906725
593	BCKDHA	chr19	41397828	41424605
594	BCKDHB	chr6	80106694	80343801
596	BCL2	chr18	63128628	63318666
605	BCL7A	chr12	122022092	122059160
623	BDKRB1	chr14	96263683	96264741
624	BDKRB2	chr14	96237108	96241501
634	CEACAM1	chr19	42509112	42528374
641	BLM	chr15	90747393	90815276
642	BLMH	chr17	30249020	30291509
644	BLVRA	chr7	43787904	43807232
645	BLVRB	chr19	40447892	40465688
675	BRCA2	chr13	32316461	32398767
686	BTD	chr3	15601721	15645485
695	BTK	chrX	101349888	101375314
706	TSPO	chr22	43159239	43162988
710	SERPING1	chr11	57599879	57614578
713	C1QB	chr1	22659457	22661383
717	C2	chr6	31901067	31945354
718	C3	chr19	6677885	6720589
722	C4BPA	chr1	207113026	207144714
725	C4BPB	chr1	207089532	207099926
730	C7	chr5	40928580	40981570
731	C8A	chr1	56854902	56917713
732	C8B	chr1	56929407	56965948
733	C8G	chr9	136945321	136946688
753	LDLRAD4	chr18	13438237	13645654
760	CA2	chr8	85465271	85480786
766	CA7	chr16	66844488	66853495
773	CACNA1A	chr19	13207316	13506224
779	CACNA1S	chr1	201039834	201112339
783	CACNB2	chr10	18140737	18539721
784	CACNB3	chr12	48815687	48827896
785	CACNB4	chr2	151839122	152099011
786	CACNG1	chr17	67044661	67056268
788	SLC25A20	chr3	48857713	48898794
797	CALCB	chr11	15074719	15077442
825	CAPN3	chr15	42359806	42411345
833	CARS	chr11	3001117	3054940
846	CASR	chr3	122254190	122285188
861	RUNX1	chr21	34792138	35048899
864	RUNX3	chr1	24902125	24964571
885	CCK	chr3	42258101	42263630
886	CCKAR	chr4	26481641	26490267
889	KRIT1	chr7	92200739	92242135
892	CCNC	chr6	99543558	99562947
908	CCT6A	chr7	56051849	56063082
915	CD3D	chr11	118339165	118342607
916	CD3E	chr11	118304953	118315539
920	CD4	chr12	6800139	6818912
929	CD14	chr5	140631859	140632980
932	MS4A3	chr11	60061161	60069675
947	CD34	chr1	207887741	207911080
948	CD36	chr7	80646741	80674144
959	CD40LG	chrX	136648249	136659412
963	CD53	chr1	110891409	110899192
966	CD59	chr11	33710129	33722445
974	CD79B	chr17	63929229	63932261
976	ADGRE5	chr19	14388449	14408009
1019	CDK4	chr12	57748528	57751717
1026	CDKN1A	chr6	36677837	36685797
1028	CDKN1C	chr11	2883777	2885489
1071	CETP	chr16	56961980	56983663
1081	CGA	chr6	87085759	87088200
1117	CHI3L2	chr1	111230741	111242361
1121	CHM	chrX	85864633	86047532
1123	CHN1	chr2	174800119	174952209
1128	CHRM1	chr11	62909721	62911100
1129	CHRM2	chr7	137014866	137016263
1131	CHRM3	chr1	239907452	239909221
1132	CHRM4	chr11	46385121	46386557
1135	CHRNA2	chr8	27461632	27471058
1136	CHRNA3	chr15	78593114	78618916
1137	CHRNA4	chr20	63346741	63359700
1138	CHRNA5	chr15	78565720	78593250
1140	CHRNB1	chr17	7445128	7456720
1141	CHRNB2	chr1	154568045	154575929
1142	CHRNB3	chr8	42697547	42736615
1143	CHRNB4	chr15	78624958	78641133
1144	CHRND	chr2	232526216	232535309
1145	CHRNE	chr17	4898739	4903063
1161	ERCC8	chr5	60874618	60945008
1173	AP2M1	chr3	184176994	184183613
1180	CLCN1	chr7	143316213	143351962
1188	CLCNKB	chr1	16044493	16056913
1200	TPP1	chr11	6614549	6619266
1201	CLN3	chr16	28477519	28491759
1234	CCR5	chr3	46372903	46373958
1244	ABCC2	chr10	99784608	99851628
1270	CNTF	chr11	58622753	58624519
1277	COL1A1	chr17	50185505	50201513
1278	COL1A2	chr7	94395032	94430390
1281	COL3A1	chr2	188974490	189011771
1285	COL4A3	chr2	227237962	227311867
1286	COL4A4	chr2	226970576	227147483
1289	COL5A1	chr9	134690911	134842300
1290	COL5A2	chr2	189034073	189179604
1294	COL7A1	chr3	48564781	48595159
1300	COL10A1	chr6	116120076	116125492
1308	COL17A1	chr10	104032238	104080673
1311	COMP	chr19	18782918	18791269
1314	COPA	chr1	160290160	160343170
1368	CPM	chr12	68856440	68932837
1371	CPOX	chr3	98578228	98593504
1376	CPT2	chr1	53196944	53213592
1380	CR2	chr1	207454419	207485551
1384	CRAT	chr9	129095400	129108080
1392	CRH	chr8	66176890	66177477
1400	CRMP1	chr4	5821763	5892969
1401	CRP	chr1	159713528	159714485
1406	CRX	chr19	47834444	47839964
1409	CRYAA	chr21	6560783	6563961
1415	CRYBB2	chr22	25221430	25231769
1435	CSF1	chr1	109911024	109925186
1437	CSF2	chr5	132073824	132075849
1440	CSF3	chr17	40015475	40016956
1441	CSF3R	chr1	36466099	36479496
1446	CSN1S1	chr4	69932556	69945002
1452	CSNK1A1	chr5	149505445	149550964
1471	CST3	chr20	23633919	23637862
1476	CSTB	chr21	43774205	43776269
1477	CSTF1	chr20	56395553	56403724
1479	CSTF3	chr11	33085090	33141762
1497	CTNS	chr17	3640207	3660731
1513	CTSK	chr1	150796802	150806805
1536	CYBB	chrX	37780078	37810914
1543	CYP1A1	chr15	74720492	74723097
1544	CYP1A2	chr15	74749739	74755085
1545	CYP1B1	chr2	38070725	38075388
1548	CYP2A6	chr19	40843799	40850426
1549	CYP2A7	chr19	40875696	40882210
1553	CYP2A13	chr19	41088472	41095938
1555	CYP2B6	chr19	40991306	41016824
1557	CYP2C19	chr10	94762706	94852911
1558	CYP2C8	chr10	95037131	95069402
1559	CYP2C9	chr10	94938683	94989025
1562	CYP2C18	chr10	94683820	94735441
1571	CYP2E1	chr10	133527396	133538961
1573	CYP2J2	chr1	59893654	59926746
1579	CYP4A11	chr1	46930118	46941433
1580	CYP4B1	chr1	46799082	46818811
1581	CYP7A1	chr8	58491478	58500098
1583	CYP11A1	chr15	74337975	74367585
1585	CYP11B2	chr8	142911983	142917840
1586	CYP17A1	chr10	102830705	102837361
1588	CYP19A1	chr15	51210811	51242912
1589	CYP21A2	chr6	32038423	32041131
1591	CYP24A1	chr20	54157182	54173579
1592	CYP26A1	chr10	93073935	93077301
1593	CYP27A1	chr2	218782183	218815027
1594	CYP27B1	chr12	57763145	57767041
1595	CYP51A1	chr7	92113668	92134364
1604	CD55	chr1	207321766	207359666
1621	DBH	chr9	133636372	133658444
1633	DCK	chr4	70993836	71026758
1635	DCTD	chr4	182891402	182915577
1636	ACE	chr17	63477095	63497363
1641	DCX	chrX	111301690	111410974
1643	DDB2	chr11	47215137	47238846
1644	DDC	chr7	50463234	50544085
1727	CYB5R3	chr22	42619776	42636846
1728	NQO1	chr16	69710979	69718538
1733	DIO1	chr1	53894211	53909996
1734	DIO2	chr14	80202692	80211472
1738	DLD	chr7	107893200	107919256
1774	DNASE1L1	chrX	154402710	154405568
1785	DNM2	chr19	10718243	10831044
1791	DNTT	chr10	96304498	96338221
1806	DPYD	chr1	97078979	97883374
1811	SLC26A3	chr7	107767576	107794509
1812	DRD1	chr5	175441762	175443099
1813	DRD2	chr11	113410730	113424651
1814	DRD3	chr3	114128719	114171992
1815	DRD4	chr11	637305	640600
1816	DRD5	chr4	9782030	9783460
1822	ATN1	chr12	6934176	6941552
1831	TSC22D3	chrX	107714522	107775419
1832	DSP	chr6	7541916	7585875
1836	SLC26A2	chr5	149977653	149981810
1854	DUT	chr15	48331516	48342075
1861	TOR1A	chr9	129813975	129824085
1896	EDA	chrX	69616309	70035606
1910	EDNRB	chr13	77896445	77919615
2006	ELN	chr7	74028188	74068697
2010	EMD	chrX	154379485	154381194
2022	ENG	chr9	127815685	127854355
2038	EPB42	chr15	43197305	43220825
2046	EPHA8	chr1	22569288	22601738
2052	EPHX1	chr1	225828730	225845344
2056	EPO	chr7	100721551	100723130
2057	EPOR	chr19	11377987	11384207
2064	ERBB2	chr17	39700239	39728041
2065	ERBB3	chr12	56080301	56102052
2068	ERCC2	chr19	45351632	45370231
2099	ESR1	chr6	151807913	152125345
2108	ETFA	chr15	76225846	76295737
2109	ETFB	chr19	51345214	51366326
2131	EXT1	chr8	117799715	118111046
2135	EXTL2	chr1	100873945	100877905
2147	F2	chr11	46719236	46739405
2153	F5	chr1	169514316	169586386
2157	F8	chrX	154837600	155022552
2158	F9	chrX	139530765	139562068
2159	F10	chr13	113122856	113149514
2161	F12	chr5	177402295	177409527
2162	F13A1	chr6	6145622	6318664
2169	FABP2	chr4	119319044	119322102
2176	FANCC	chr9	95101710	95249291
2177	FANCD2	chr3	10028658	10101259
2184	FAH	chr15	80153055	80186206
2199	FBLN2	chr3	13570356	13637916
2200	FBN1	chr15	48410993	48644769
2203	FBP1	chr9	94603384	94639310
2214	FCGR3A	chr1	161543015	161550051
2215	FCGR3B	chr1	161624518	161631202
2235	FECH	chr18	57550715	57586620
2243	FGA	chr4	154584127	154590687
2246	FGF1	chr5	142595293	142614127
2266	FGG	chr4	154604837	154612609
2271	FH	chr1	241497831	241519722
2280	FKBP1A	chr20	1370032	1392998
2328	FMO3	chr1	171092659	171117439
2348	FOLR1	chr11	72192174	72196174
2352	FOLR3	chr11	72135953	72139828
2356	FPGS	chr9	127802925	127813601
2358	FPR2	chr19	51768659	51769711
2395	FXN	chr9	69035783	69072759
2488	FSHB	chr11	30231903	30233797
2512	FTL	chr19	48965508	48966732
2517	FUCA1	chr1	23845718	23868286
2520	GAST	chr17	41715437	41715869
2524	FUT2	chr19	48702957	48703985
2525	FUT3	chr19	5843757	5844839
2528	FUT6	chr19	5831491	5832567
2538	G6PC	chr17	42900877	42911423
2539	G6PD	chrX	154532003	154546870
2548	GAA	chr17	80104587	80119328
2554	GABRA1	chr5	161850811	161897419
2555	GABRA2	chr4	46250311	46388706
2556	GABRA3	chrX	152168231	152364570
2557	GABRA4	chr4	46928228	46993424
2558	GABRA5	chr15	26869249	26948230
2559	GABRA6	chr5	161686231	161701770
2560	GABRB1	chr4	47031652	47426015
2561	GABRB2	chr5	161294084	161546643
2562	GABRB3	chr15	26547796	26773724
2566	GABRG2	chr5	162068000	162153365
2571	GAD1	chr2	170818592	170859879
2572	GAD2	chr10	26216810	26300958
2581	GALC	chr14	87934735	87993499
2582	GALE	chr1	23795952	23799007
2584	GALK1	chr17	75758059	75765136
2592	GALT	chr9	34646705	34650446
2593	GAMT	chr19	1397362	1401476
2618	GART	chr21	33504127	33539315
2621	GAS6	chr13	113820867	113863742
2625	GATA3	chr10	8055656	8074020
2629	GBA	chr1	155234998	155240717
2632	GBE1	chr3	81490410	81761517
2638	GC	chr4	71752518	71784054
2642	GCGR	chr17	81809779	81813686
2643	GCH1	chr14	54843797	54902663
2645	GCK	chr7	44145139	44188953
2668	GDNF	chr5	37815654	37834823
2677	GGCX	chr2	85549937	85561428
2688	GH1	chr17	63917312	63918507
2690	GHR	chr5	42565863	42719421
2692	GHRHR	chr7	30964069	30979241
2697	GJA1	chr6	121446848	121447993
2705	GJB1	chrX	71223708	71224556
2707	GJB3	chr1	34784763	34785572
2717	GLA	chrX	101397812	101407903
2731	GLDC	chr9	6533020	6645499
2737	GLI3	chr7	41964333	42223253
2743	GLRB	chr4	157078025	157170725
2752	GLUL	chr1	182384408	182388737
2760	GM2A	chr5	151253217	151267637
2779	GNAT1	chr3	50191726	50194952
2796	GNRH1	chr8	25419422	25423342
2798	GNRHR	chr4	67740483	67754335
2811	GP1BA	chr17	4932605	4934560
2812	GP1BB	chr22	19723853	19724461
2813	GP2	chr16	20311226	20327805
2815	GP9	chr3	129061740	129062270
2820	GPD2	chr2	156476106	156582915
2821	GPI	chr19	34364910	34400033
2824	GPM6B	chrX	13772884	13816904
2829	XCR1	chr3	46020949	46021947
2870	GRK6	chr5	177426572	177441824
2876	GPX1	chr3	49357391	49358278
2886	GRB7	chr17	39742248	39746894
2890	GRIA1	chr5	153490889	153811222
2891	GRIA2	chr4	157221043	157363041
2892	GRIA3	chrX	123184536	123483041
2893	GRIA4	chr11	105610998	105979736
2897	GRIK1	chr21	29537233	29939500
2899	GRIK3	chr1	36801854	37034108
2904	GRIN2B	chr12	13562786	13866208
2906	GRIN2D	chr19	48398393	48443934
2907	GRINA	chr8	143991224	143992838
2908	NR3C1	chr5	143279367	143400839
2912	GRM2	chr3	51708984	51718109
2913	GRM3	chr7	86765146	86864393
2914	GRM4	chr6	34022824	34155390
2915	GRM5	chr11	88508595	89047872
2916	GRM6	chr5	178981660	178994944
2917	GRM7	chr3	6861389	7740403
2918	GRM8	chr7	126439122	127243204
2922	GRP	chr18	59219269	59230465
2934	GSN	chr9	121282452	121332600
2936	GSR	chr8	30679523	30727835
2937	GSS	chr20	34928831	34951852
2939	GSTA2	chr6	52750580	52757947
2940	GSTA3	chr6	52896809	52905834
2944	GSTM1	chr1	109687874	109693292
2946	GSTM2	chr1	109668425	109674833
2947	GSTM3	chr1	109737074	109740287
2949	GSTM5	chr1	109712618	109717423
2950	GSTP1	chr11	67584463	67586574
2956	MSH6	chr2	47783234	47806857
2977	GUCY1A2	chr11	106687552	107018055
2978	GUCA1A	chr6	42173614	42179400
2982	GUCY1A1	chr4	155696868	155730228
2990	GUSB	chr7	65960900	65982183
3000	GUCY2D	chr17	8003048	8016527
3030	HADHA	chr2	26191253	26244596
3039	HBA1	chr16	172913	173597
3040	HBA2	chr16	176717	177408
3042	HBM	chr16	165998	166705
3043	HBB	chr11	5225601	5227021
3045	HBD	chr11	5232967	5234433
3047	HBG1	chr11	5248362	5249804
3048	HBG2	chr11	5253280	5254728
3053	SERPIND1	chr22	20779313	20787063
3069	HDLBP	chr2	241229604	241267648
3073	HEXA	chr15	72344080	72375972
3074	HEXB	chr5	74685261	74721172
3075	CFH	chr1	196652118	196747310
3077	HFE	chr6	26087441	26093234
3081	HGD	chr3	120628383	120675869
3082	HGF	chr7	81702584	81769971
3098	HK1	chr10	69295633	69401132
3141	HLCS	chr21	36754249	36966638
3145	HMBS	chr11	119088255	119093280
3155	HMGCL	chr1	23802466	23825415
3176	HNMT	chr2	137964492	138014127
3184	HNRNPD	chr4	82355337	82373678
3191	HNRNPL	chr19	38836725	38849361
3209	HOXA13	chr7	27198201	27200077
3239	HOXD13	chr2	176087942	176094727
3248	HPGD	chr4	174491959	174522451
3251	HPRT1	chrX	134473359	134500074
3257	HPS1	chr10	98417567	98443240
3263	HPX	chr11	6431214	6440963
3269	HRH1	chr3	11259038	11260498
3284	HSD3B2	chr1	119415420	119422617
3291	HSD11B2	chr16	67431249	67437000
3293	HSD17B3	chr9	96235463	96302104
3295	HSD17B4	chr5	119452576	119541991
3320	HSP90AA1	chr14	102081715	102139404
3347	HTN3	chr4	70030741	70033217
3350	HTR1A	chr5	63960454	63961719
3351	HTR1B	chr6	77462234	77463403
3352	HTR1D	chr1	23193089	23194219
3354	HTR1E	chr6	87015335	87016429
3355	HTR1F	chr3	87990750	87991847
3356	HTR2A	chr13	46834840	46896833
3357	HTR2B	chr2	231108520	231123764
3358	HTR2C	chrX	114726937	114907412
3359	HTR3A	chr11	113975308	113989760
3360	HTR4	chr5	148451188	148550264
3362	HTR6	chr1	19665754	19679365
3363	HTR7	chr10	90742485	90857671
3375	IAPP	chr12	21373352	21378423
3383	ICAM1	chr19	10271160	10285284
3384	ICAM2	chr17	64002750	64006691
3423	IDS	chrX	149482749	149505137
3425	IDUA	chr4	987085	1004390
3426	CFI	chr4	109740896	109801971
3437	IFIT3	chr10	89338659	89340125
3440	IFNA2	chr9	21384766	21385329
3454	IFNAR1	chr21	33325056	33355546
3455	IFNAR2	chr21	33241923	33263497
3458	IFNG	chr12	68155356	68159615
3459	IFNGR1	chr6	137198034	137219327
3481	IGF2	chr11	2132990	2140296
3482	IGF2R	chr6	159969247	160105081
3484	IGFBP1	chr7	45888653	45893088
3485	IGFBP2	chr2	216633554	216664101
3486	IGFBP3	chr7	45914823	45921140
3488	IGFBP5	chr2	216676754	216694775
3552	IL1A	chr2	112775070	112783770
3553	IL1B	chr2	112830364	112836229
3554	IL1R1	chr2	102157725	102176756
3557	IL1RN	chr2	113127625	113132868
3558	IL2	chr4	122449518	122456440
3559	IL2RA	chr10	6018052	6062151
3560	IL2RB	chr22	37128099	37144172
3561	IL2RG	chrX	71107739	71111539
3562	IL3	chr5	132060707	132062788
3565	IL4	chr5	132674051	132682584
3566	IL4R	chr16	27340204	27363827
3574	IL7	chr8	78721354	78798209
3576	CXCL8	chr4	73740659	73742033
3577	CXCR1	chr2	218164162	218165211
3578	IL9	chr5	135892394	135895816
3586	IL10	chr1	206768639	206772435
3588	IL10RB	chr21	33268378	33296354
3589	IL11	chr19	55366010	55368939
3592	IL12A	chr3	159989057	159995556
3598	IL13RA2	chrX	115005197	115017269
3600	IL15	chr4	141720469	141732845
3611	ILK	chr11	6604272	6610608
3614	IMPDH1	chr7	128394277	128409901
3635	INPP5D	chr2	233060479	233204717
3645	INSRR	chr1	156840876	156858621
3651	PDX1	chr13	27920139	27924698
3654	IRAK1	chrX	154011862	154019812
3655	ITGA6	chr2	172427789	172504249
3674	ITGA2B	chr17	44372367	44389473
3676	ITGA4	chr2	181457655	181535524
3684	ITGAM	chr16	31261691	31331704
3687	ITGAX	chr16	31355886	31381904
3689	ITGB2	chr21	44886371	44910782
3690	ITGB3	chr17	47253862	47310201
3694	ITGB6	chr2	160101739	160200063
3695	ITGB7	chr12	53191559	53200443
3730	ANOS1	chrX	8532998	8732036
3732	CD82	chr11	44594663	44619123
3736	KCNA1	chr12	4911379	4912863
3757	KCNH2	chr7	150945368	150977913
3758	KCNJ1	chr11	128839128	128840267
3759	KCNJ2	chr17	70175040	70176320
3762	KCNJ5	chr11	128911274	128916728
3767	KCNJ11	chr11	17386922	17388091
3776	KCNK2	chr1	215083386	215235142
3784	KCNQ1	chr11	2445099	2848000
3817	KLK2	chr19	50873474	50878556
3827	KNG1	chr3	186717543	186743782
3849	KRT2	chr12	52645022	52652142
3852	KRT5	chr12	52514945	52520296
3857	KRT9	chr17	41568164	41571992
3859	KRT12	chr17	40861664	40867186
3861	KRT14	chr17	41582438	41586834
3872	KRT17	chr17	41619597	41624509
3875	KRT18	chr12	52949174	52952839
3897	L1CAM	chrX	153862666	153875836
3914	LAMB3	chr1	209615274	209650119
3931	LCAT	chr16	67939907	67944101
3949	LDLR	chr19	11089549	11129670
3952	LEP	chr7	128252019	128254760
3953	LEPR	chr1	65565566	65637012
3973	LHCGR	chr2	48687700	48755671
3978	LIG1	chr19	48115652	48162350
3985	LIMK2	chr22	31225716	31278438
3988	LIPA	chr10	89214831	89247648
4014	LOR	chr1	153260950	153261885
4023	LPL	chr8	19939441	19962217
4046	LSP1	chr11	1853145	1887560
4048	LTA4H	chr12	96000992	96043375
4049	LTA	chr6	31572743	31573690
4051	CYP4F3	chr19	15641416	15659382
4053	LTBP2	chr14	74500887	74611944
4059	BCAM	chr19	44809125	44820822
4069	LYZ	chr12	69348409	69353216
4086	SMAD1	chr4	145514614	145557931
4087	SMAD2	chr18	47841830	47896756
4090	SMAD5	chr5	136153761	136177477
4094	MAF	chr16	79594463	79599902
4109	MAGEA10	chrX	152134514	152135620
4110	MAGEA11	chrX	149713160	149716773
4128	MAOA	chrX	43656342	43744510
4129	MAOB	chrX	43767469	43843765
4143	MAT1A	chr10	80273784	80289423
4153	MBL2	chr10	52768140	52771635
4158	MC2R	chr18	13884628	13885518
4192	MDK	chr11	46382058	46382747
4210	MEFV	chr16	3243144	3256587
4254	KITLG	chr12	88506313	88545865
4256	MGP	chr12	14882142	14885791
4286	MITF	chr3	69739598	69965245
4292	MLH1	chr3	36993548	37050650
4311	MME	chr3	155084168	155180456
4350	MPG	chr16	79416	85774
4353	MPO	chr17	58270659	58280758
4357	MPST	chr22	37024192	37029511
4359	MPZ	chr1	161305687	161309935
4515	MTCP1	chrX	155065493	155066010
4528	MTIF2	chr2	55236651	55263858
4547	MTTP	chr4	99564096	99622845
4582	MUC1	chr1	155186138	155192843
4594	MUT	chr6	49431731	49459466
4601	MXI1	chr10	110207809	110284984
4607	MYBPC3	chr11	47332073	47351506
4610	MYCL	chr1	39897375	39901888
4625	MYH7	chr14	23413759	23433732
4633	MYL2	chr12	110911080	110919193
4634	MYL3	chr3	46858385	46863390
4653	MYOC	chr1	171635928	171652611
4668	NAGA	chr22	42060282	42068575
4669	NAGLU	chr17	42536273	42544235
4683	NBN	chr8	89937025	89984561
4684	NCAM1	chr11	112961613	113275384
4688	NCF2	chr1	183556121	183590329
4689	NCF4	chr22	36864043	36877820
4693	NDP	chrX	43949802	43958645
4758	NEU1	chr6	31859722	31862776
4771	NF2	chr22	29603999	29694799
4835	NQO2	chr6	3010024	3019652
4842	NOS1	chr12	117218045	117331069
4843	NOS2	chr17	27757249	27798809
4846	NOS3	chr7	150993804	151014166
4850	CNOT4	chr7	135362888	135438331
4852	NPY	chr7	24285241	24289580
4854	NOTCH3	chr19	15160665	15197579
4860	PNP	chr14	20472309	20476598
4881	NPR1	chr1	153679109	153693411
4883	NPR3	chr5	32710663	32786342
4886	NPY1R	chr4	163325306	163326554
4887	NPY2R	chr4	155213940	155215082
4914	NTRK1	chr1	156842081	156881639
4915	NTRK2	chr9	84670749	85021434
4921	DDR2	chr1	162719064	162780243
4935	GPR143	chrX	9725749	9765817
4938	OAS1	chr12	112907040	112931919
4939	OAS2	chr12	112978609	113010481
4942	OAT	chr10	124397945	124412171
4952	OCRL	chrX	129540741	129590267
4978	OPCML	chr11	132420196	132943092
4985	OPRD1	chr1	28812384	28863280
4986	OPRK1	chr8	53229213	53251037
4987	OPRL1	chr20	64092688	64098883
4988	OPRM1	chr6	154039161	154246782
5004	ORM1	chr9	114323134	114326354
5005	ORM2	chr9	114329905	114333131
5009	OTC	chrX	38352697	38421079
5019	OXCT1	chr5	41731732	41870358
5020	OXT	chr20	3071656	3072415
5021	OXTR	chr3	8752980	8768187
5033	P4HA1	chr10	73008225	73074883
5034	P4HB	chr17	81844015	81860471
5053	PAH	chr12	102839178	102917130
5077	PAX3	chr2	222201177	222298615
5080	PAX6	chr11	31789937	31802832
5091	PC	chr11	66848902	66872159
5092	PCBD1	chr10	70883953	70885929
5096	PCCB	chr3	136250376	136330023
5104	SERPINA5	chr14	94587363	94592236
5106	PCK2	chr14	24096890	24103961
5122	PCSK1	chr5	96393004	96433042
5139	PDE3A	chr12	20369285	20680268
5140	PDE3B	chr11	14644076	14869657
5143	PDE4C	chr19	18210932	18233191
5145	PDE6A	chr5	149860898	149944673
5152	PDE9A	chr21	42653815	42772522
5160	PDHA1	chrX	19344038	19359650
5162	PDHB	chr3	58428037	58433809
5172	SLC26A4	chr7	107661642	107712622
5175	PECAM1	chr17	64341635	64390665
5184	PEPD	chr19	33387347	33512775
5189	PEX1	chr7	92487460	92528435
5190	PEX6	chr6	42964338	42979150
5191	PEX7	chr6	136822666	136913523
5193	PEX12	chr17	35575785	35578021
5208	PFKFB2	chr1	207054718	207079016
5213	PFKM	chr12	48107374	48145705
5224	PGAM2	chr7	44062767	44065529
5230	PGK1	chrX	78104341	78125427
5241	PGR	chr11	101039119	101129070
5243	ABCB1	chr7	87504246	87601078
5251	PHEX	chrX	22033006	22247950
5257	PHKB	chr16	47461351	47699363
5261	PHKG2	chr16	30748821	30757094
5265	SERPINA1	chr14	94378452	94383237
5271	SERPINB8	chr18	63978309	63987275
5276	SERPINI2	chr3	167442112	167471846
5303	PIN4	chrX	72181711	72262793
5308	PITX2	chr4	110618128	110632998
5311	PKD2	chr4	88007734	88075691
5313	PKLR	chr1	155290575	155301395
5317	PKP1	chr1	201283703	201328833
5318	PKP2	chr12	32792427	32896731
5319	PLA2G1B	chr12	120322196	120326030
5320	PLA2G2A	chr1	19975704	19978773
