GENE	CGC	GENE_LEN	GENE_NUM_MUTS	MUTS_IN_CLUST	NUM_CLUSTERS	CLUST_COORDS	GENE_SCORE	ZSCORE	PVALUE	QVALUE
EGFR	Dom	1211.0	269	213	23	[37,38]:4,[45,52]:7,[52,64]:16,[84,101]:9,[106,110]:9,[112,123]:11,[144,152]:6,[176,180]:9,[184,189]:4,[189,197]:5,[207,212]:14,[216,218]:5,[244,244]:30,[327,331]:25,[353,355]:3,[358,361]:3,[442,445]:4,[449,457]:7,[501,502]:5,[507,507]:4,[522,523]:3,[591,597]:26,[911,918]:4	0.6320431003183922	4.148991260644848	1.6697177909829446e-05	0.006393627707972193
RHOB		197.0	40	32	7	[28,34]:4,[46,47]:3,[63,65]:3,[70,75]:7,[85,94]:4,[102,108]:5,[172,172]:6	0.6283815757971989	4.120363717461203	1.8913738290379898e-05	0.007046645468456403
RNF181		154.0	7	6	2	[3,8]:3,[82,87]:3	0.6219386205781989	4.069989623912294	2.3507615829678302e-05	0.008527696952950406
LACRT		139.0	23	17	5	[1,6]:4,[34,36]:4,[48,48]:2,[89,89]:3,[106,113]:4	0.6202260275567714	4.056599755732209	2.489615058293969e-05	0.00879983168681599
IL36B		165.0	36	29	9	[7,18]:6,[26,26]:2,[57,57]:2,[68,71]:3,[88,92]:3,[103,107]:3,[138,138]:2,[142,149]:5,[157,160]:3	0.6182536827335559	4.041179024211001	2.659156876118425e-05	0.009061039523677612
MRPL24		217.0	12	8	3	[3,3]:2,[42,43]:4,[143,143]:2	0.6178522604063545	4.038040513205457	2.6949772975754956e-05	0.009061039523677612
AMY1B		1536.0	41	40	6	[298,307]:6,[317,324]:8,[330,335]:5,[341,352]:10,[356,361]:7,[364,366]:4	0.6122311131368513	3.994091705743452	3.247136302227036e-05	0.010657565220523735
C16orf91		133.0	6	5	1	[99,104]:5	0.6107061191920277	3.982168576522947	3.414465706937739e-05	0.010946141807008543
RSPO4		235.0	16	11	4	[102,102]:3,[123,127]:3,[150,152]:3,[166,166]:2	0.6093761987787407	3.971770625111775	3.5670197448737863e-05	0.011175310723428441
TFPI2		236.0	26	18	5	[33,33]:3,[51,59]:4,[100,102]:3,[195,195]:2,[211,211]:6	0.6081739990649916	3.9623712549801495	3.710451298164792e-05	0.011366349143378146
CGGBP1		168.0	9	7	2	[122,126]:3,[151,153]:4	0.6063480825442198	3.9480953696909555	3.938771210928793e-05	0.011552449878918366
C7orf66		116.0	18	14	4	[45,49]:3,[67,72]:5,[93,96]:3,[110,113]:3	0.6063477704514632	3.9480929296010925	3.93881134790833e-05	0.011552449878918366
TARP		112.0	29	24	5	[2,11]:8,[34,39]:5,[39,42]:3,[48,55]:6,[109,109]:2	0.6054165827978252	3.940812460874937	4.0603048521390625e-05	0.011660687997236869
ERBB2	Dom	1256.0	168	109	11	[219,222]:3,[277,285]:4,[305,313]:40,[678,678]:12,[733,733]:2,[755,756]:12,[767,769]:12,[776,777]:11,[839,842]:9,[974,974]:2,[1188,1188]:2	0.6047399833619549	3.9355224841299243	4.150794565377715e-05	0.011677286343618734
NIP7		181.0	9	6	2	[31,32]:3,[110,111]:3	0.6015807916529172	3.9108224182004423	4.599119199550238e-05	0.012679771633160008
RGPD2		3514.0	5	3	1	[3,3]:3	0.6	3.8984630359141033	4.8402587140397406e-05	0.013082934582948593
DEFB123		68.0	9	7	1	[41,47]:7	0.5982120360717514	3.8844838820751844	5.127374754846715e-05	0.0135924732683773
CLDN3		221.0	7	5	2	[45,50]:3,[121,121]:2	0.5966835960033852	3.8725338094189703	5.385486448450084e-05	0.014007345413563096
MLN		116.0	11	9	2	[17,23]:5,[71,75]:4	0.5944770800318571	3.855282216293018	5.7798099297769115e-05	0.01475457034851384
MAP2K1	Dom	394.0	58	45	5	[53,57]:9,[118,130]:27,[203,203]:5,[294,294]:2,[313,313]:2	0.5890406025554453	3.812777245256481	6.870697536261423e-05	0.017220466461338856
KLK8		306.0	35	28	6	[11,11]:2,[27,40]:7,[60,66]:4,[88,88]:2,[98,100]:7,[106,111]:6	0.5868745298866945	3.7958418571402306	7.35716389577783e-05	0.018110447197017394
OR4M2		314.0	118	105	17	[14,24]:10,[35,44]:10,[84,93]:7,[98,104]:6,[111,113]:4,[119,119]:2,[131,134]:3,[136,139]:5,[150,152]:9,[167,182]:10,[194,196]:4,[204,204]:2,[213,213]:2,[219,230]:5,[236,244]:10,[262,269]:13,[282,286]:3	0.5820203356044626	3.75788945353565	8.567627355573217e-05	0.020644855164789342
CNOT9		332.0	23	17	2	[82,97]:7,[131,131]:10	0.5815799097474071	3.754445994351075	8.686264777350612e-05	0.020644855164789342
C8G		203.0	6	5	1	[114,120]:5	0.5797617925573512	3.7402310879452885	9.192557409949511e-05	0.02147786506714475
VSTM2L		205.0	17	12	4	[53,60]:6,[66,66]:2,[85,85]:2,[169,169]:2	0.5770997826744808	3.719418226407405	9.984109040685211e-05	0.022787163716550495
RALB		207.0	19	12	3	[19,23]:6,[52,52]:2,[125,126]:4	0.5766906922481072	3.716219762549184	0.00010111285302138056	0.022787163716550495
MYCN	Dom	465.0	49	36	8	[12,12]:2,[42,49]:9,[58,58]:3,[75,75]:2,[81,92]:8,[119,126]:6,[162,166]:3,[187,188]:3	0.576083913596937	3.711475677963994	0.00010302723489490099	0.022787163716550495
HBD		148.0	36	25	7	[16,19]:4,[37,40]:4,[45,52]:7,[58,58]:2,[65,69]:4,[78,78]:2,[122,122]:2	0.5756929606451285	3.7084190215232438	0.00010427866714800604	0.022787163716550495
FGFR3	Dom	809.0	120	79	7	[248,249]:44,[334,335]:3,[344,358]:8,[370,373]:16,[380,380]:3,[538,538]:3,[557,557]:2	0.57522523793755	3.704762142556115	0.00010579459396875094	0.022787163716550495
C19orf73		130.0	7	4	2	[57,57]:2,[72,72]:2	0.5714285714285714	3.6750779949256462	0.00011888838238154558	0.02393158465279843
HRCT1		116.0	7	4	1	[92,92]:4	0.5714285714285714	3.6750779949256462	0.00011888838238154558	0.02393158465279843
LILRA6		479.0	7	4	2	[459,459]:2,[470,470]:2	0.5714285714285714	3.6750779949256462	0.00011888838238154558	0.02393158465279843
PPP1R14C		166.0	7	4	2	[142,142]:2,[150,150]:2	0.5714285714285714	3.6750779949256462	0.00011888838238154558	0.02393158465279843
HIST1H2AB		131.0	17	10	3	[30,30]:2,[38,38]:4,[122,123]:4	0.5710066801434193	3.671779447854723	0.00012043375524125619	0.02393158465279843
IFNA4		190.0	20	13	5	[56,56]:2,[62,65]:4,[109,112]:3,[118,118]:2,[139,139]:2	0.5707120343787258	3.6694757668869133	0.00012152418757315126	0.02393158465279843
SH2D1B		133.0	18	11	5	[9,9]:2,[22,22]:2,[87,87]:2,[119,119]:2,[126,130]:3	0.5694449772375506	3.659569310487349	0.00012631975268076085	0.024517008382996832
MAL		154.0	15	14	3	[33,34]:3,[42,56]:7,[73,79]:4	0.5689978453840399	3.656073420627518	0.0001280540154933458	0.024517008382996832
BCL2L11		199.0	25	18	4	[5,5]:3,[31,31]:2,[63,66]:9,[102,107]:4	0.5677839604976926	3.6465826902493	0.00013287549251549168	0.025091625538713053
BAGE3		110.0	37	37	5	[2,2]:3,[41,55]:10,[68,80]:7,[90,96]:7,[99,107]:10	0.566018528854046	3.6327797045465586	0.00014019219160218803	0.026115531908596785
CHIA		477.0	57	48	10	[2,2]:3,[8,14]:7,[19,28]:8,[35,49]:7,[71,76]:4,[98,104]:6,[108,113]:4,[119,119]:2,[254,263]:5,[270,270]:2	0.5625758135716631	3.6058629162402243	0.00015555867575478669	0.028083385551435393
CUEDC2		288.0	16	9	3	[45,45]:5,[98,98]:2,[285,285]:2	0.5625	3.605270169616754	0.00015591417705343607	0.028083385551435393
TTR		148.0	9	6	2	[79,80]:3,[136,139]:3	0.5622974583340357	3.603686602374388	0.00015686765959089773	0.028083385551435393
LCE3A		90.0	18	14	3	[29,31]:3,[44,52]:7,[52,59]:4	0.5606132689214881	3.5905188071409886	0.0001650102076344903	0.02916238092617242
PCBP1	NA	357.0	41	27	4	[39,41]:3,[100,102]:17,[203,203]:2,[343,349]:5	0.5599312364345774	3.5851863522144485	0.0001684188001853037	0.029388014690562167
VAMP5		117.0	6	4	1	[5,8]:4	0.5589272604280323	3.577336789466376	0.00017355640876903926	0.02968878124960394
GYPC		129.0	18	15	3	[18,32]:8,[53,53]:4,[106,107]:3	0.5583328371108729	3.5726893047689905	0.00017666694257228232	0.02968878124960394
HIST1H4G		99.0	17	12	4	[47,52]:3,[67,71]:3,[78,79]:3,[87,90]:3	0.5580865816062311	3.5707639619090594	0.0001779707738293416	0.02968878124960394
HIST1H3I		137.0	39	35	6	[6,27]:9,[34,37]:5,[80,82]:4,[98,100]:4,[106,106]:4,[118,134]:9	0.5578368460902667	3.5688114106626103	0.0001793022169373704	0.02968878124960394
KRTAP4-2		137.0	24	18	4	[11,22]:5,[37,38]:3,[76,77]:4,[98,106]:6	0.5574293153120635	3.565625140876856	0.00018149495162039816	0.02968878124960394
IQCJ		160.0	16	11	3	[91,91]:2,[102,103]:4,[110,115]:5	0.5571403940892549	3.5633662171048717	0.00018306466494133732	0.02968878124960394
GIPC1		334.0	23	18	5	[57,62]:4,[80,83]:3,[116,118]:3,[199,204]:4,[204,212]:4	0.5564421459303365	3.5579069803288683	0.00018691081917593066	0.029794118739799102
IL2	Dom	154.0	9	5	2	[42,42]:2,[111,111]:3	0.5555555555555556	3.550975194376504	0.00019190329432796851	0.029794118739799102
H3F3A	Dom	137.0	21	15	3	[3,9]:6,[35,37]:5,[48,50]:4	0.5535740544616958	3.5354828747690354	0.0002035153133970256	0.029794118739799102
C1orf174		244.0	14	9	3	[107,107]:3,[195,197]:3,[233,237]:3	0.5535727986042751	3.5354730558773864	0.00020352287681176624	0.029794118739799102
TSHB		139.0	18	13	4	[9,9]:3,[42,51]:5,[66,68]:3,[92,92]:2	0.5533486631336979	3.5337206579825216	0.00020487694809777755	0.029794118739799102
CRCT1		100.0	10	9	2	[14,26]:5,[34,38]:4	0.553166987573043	3.5323002318927985	0.00020598067572044686	0.029794118739799102
PYCR3		287.0	11	8	2	[131,131]:3,[237,247]:5	0.5529209404990866	3.5303765186432696	0.0002074843331949191	0.029794118739799102
OR6C1		313.0	38	29	6	[12,19]:5,[63,73]:11,[221,221]:2,[227,227]:3,[242,242]:2,[263,271]:6	0.5524691297507738	3.5268440469546887	0.0002102721959275	0.029794118739799102
GABRG1		466.0	142	125	24	[15,28]:8,[33,33]:2,[38,48]:8,[53,53]:2,[60,64]:4,[68,70]:4,[79,83]:7,[103,110]:6,[121,121]:3,[136,146]:6,[166,171]:7,[195,198]:4,[205,205]:3,[224,229]:3,[237,248]:5,[248,255]:6,[261,271]:9,[280,280]:2,[292,309]:9,[309,314]:5,[376,391]:7,[419,426]:5,[430,438]:6,[438,444]:4	0.5524116847342357	3.526394914446601	0.0002106291518556204	0.029794118739799102
TM6SF1		371.0	29	20	5	[15,15]:4,[119,124]:4,[164,168]:5,[250,250]:2,[313,319]:5	0.5520325616542585	3.5234307495799877	0.00021299920178141863	0.029794118739799102
CD1E		389.0	114	107	11	[7,8]:3,[16,26]:9,[31,32]:5,[37,43]:7,[43,59]:24,[60,67]:8,[67,77]:16,[81,92]:18,[93,110]:11,[139,139]:2,[150,153]:4	0.5518133614229915	3.5217169377373687	0.00021438084694594804	0.029794118739799102
CSTB		99.0	6	5	1	[72,76]:5	0.5517811192137054	3.521464852783866	0.0002145847779470928	0.029794118739799102
PEBP1		188.0	12	8	2	[57,58]:3,[108,110]:5	0.5517791897915268	3.5214497676420304	0.00021459698722597851	0.029794118739799102
KEAP1	NA	625.0	168	144	22	[45,45]:3,[101,104]:5,[115,117]:4,[130,139]:5,[142,145]:4,[152,171]:15,[186,191]:6,[214,224]:7,[231,246]:11,[268,274]:9,[278,284]:5,[307,320]:9,[332,338]:8,[407,423]:12,[423,430]:6,[460,470]:9,[476,483]:7,[492,497]:4,[499,511]:5,[519,525]:5,[544,544]:2,[553,554]:3	0.551626332086753	3.52025465327941	0.00021556632626946795	0.029794118739799102
CSNK1A1		366.0	18	12	4	[7,7]:3,[27,31]:3,[47,49]:3,[56,61]:3	0.5514891306935303	3.5191819474197046	0.00021643986145605538	0.029794118739799102
WISP1		368.0	55	36	10	[49,49]:2,[56,61]:3,[120,120]:2,[139,140]:3,[146,150]:7,[161,164]:4,[171,172]:4,[188,190]:4,[197,200]:5,[204,204]:2	0.551199354505349	3.516916339121101	0.00021829568318605072	0.029794118739799102
DOHH		303.0	9	6	2	[38,38]:2,[97,102]:4	0.550791461412671	3.513727236588164	0.00022093314616471126	0.029858464900789656
SUMO2		96.0	5	4	1	[63,69]:4	0.5500038360919702	3.507569206578974	0.0002261103550928525	0.03026146839762108
CLDN11		208.0	18	12	4	[23,23]:2,[35,35]:2,[61,67]:4,[113,115]:4	0.5495998822344645	3.504410902863402	0.0002288093336564057	0.03032823715820724
C3orf70		251.0	34	22	2	[6,9]:15,[90,100]:7	0.5483181488435357	3.4943897005509896	0.00023757344954964277	0.031190000019445958
PPP2R1A	Dom	590.0	133	103	7	[101,120]:7,[138,148]:9,[179,183]:47,[215,220]:8,[250,260]:23,[272,273]:4,[456,463]:5	0.5468497584235893	3.4829091246558526	0.0002479983506889148	0.03188702135421709
SMAD3	Rec	426.0	58	51	9	[7,16]:7,[16,30]:7,[41,49]:11,[55,56]:3,[64,73]:5,[91,92]:3,[134,138]:4,[169,170]:3,[221,230]:8	0.5459203420652239	3.4756425047600445	0.0002548155745225682	0.03188702135421709
SPOP	Rec	375.0	116	99	7	[45,55]:12,[73,80]:7,[87,87]:7,[102,105]:11,[117,133]:54,[139,140]:4,[281,284]:4	0.5458651961020574	3.4752113473465642	0.00025522550760153213	0.03188702135421709
DIO2		310.0	10	7	2	[52,53]:3,[61,65]:4	0.5457132742897979	3.474023550237512	0.000256358015566819	0.03188702135421709
CALN1		262.0	65	45	10	[6,8]:3,[11,14]:5,[66,74]:6,[83,86]:3,[90,93]:7,[110,112]:5,[174,185]:6,[189,190]:5,[196,196]:3,[209,209]:2	0.5455677780248479	3.472885991118679	0.000257447013736807	0.03188702135421709
MOB3B		217.0	11	6	3	[29,29]:2,[54,54]:2,[133,133]:2	0.5454545454545454	3.4720006849361402	0.00025829750938336133	0.03188702135421709
PSPH		226.0	24	16	5	[47,54]:6,[73,73]:2,[154,154]:2,[183,185]:3,[189,191]:3	0.5453513600895802	3.4711939325917642	0.00025907481985290636	0.03188702135421709
MARCH9		347.0	8	5	2	[233,233]:2,[301,304]:3	0.5441954453210243	3.462156440213408	0.0002679327893427558	0.03239871492184113
SNCA		141.0	8	5	2	[14,14]:2,[112,115]:3	0.5441954453210243	3.462156440213408	0.0002679327893427558	0.03239871492184113
PRB4		248.0	59	43	10	[40,40]:2,[65,65]:3,[91,97]:4,[107,107]:3,[117,118]:3,[131,139]:5,[147,151]:8,[155,160]:4,[165,177]:7,[233,237]:4	0.5424120643505691	3.4482131181219975	0.0002821542923056178	0.033459550269648246
KRTAP20-2		66.0	13	13	2	[7,25]:9,[58,65]:4	0.5420601483769157	3.445461671375031	0.0002850424043827871	0.033459550269648246
RPL41		26.0	5	3	1	[1,2]:3	0.5414227124876255	3.4404778938960496	0.0002903439354005884	0.033459550269648246
SMIM10		84.0	5	3	1	[61,62]:3	0.5414227124876255	3.4404778938960496	0.0002903439354005884	0.033459550269648246
ARIH2OS		291.0	15	9	2	[103,104]:3,[113,114]:6	0.5414227124876254	3.4404778938960487	0.0002903439354005892	0.033459550269648246
OR6T1		324.0	74	53	13	[51,51]:2,[58,58]:2,[84,90]:7,[102,102]:2,[122,122]:2,[156,161]:3,[173,187]:9,[199,207]:5,[212,220]:7,[224,225]:3,[255,255]:3,[261,261]:4,[316,320]:4	0.5413125733510121	3.439616773651911	0.00029126920800564307	0.033459550269648246
AQP12A		296.0	23	16	4	[13,17]:5,[21,23]:3,[30,33]:4,[56,58]:4	0.5397512629700119	3.4274097052309704	0.00030468446058454414	0.034711366026098686
TP53	Rec	394.0	2412	2423	10	[1,6]:47,[6,14]:49,[14,22]:53,[22,36]:194,[36,49]:323,[55,77]:226,[77,96]:225,[98,125]:576,[126,157]:681,[199,223]:49	0.5391512382874256	3.422718426389994	0.0003099913182216599	0.03502647804660313
SURF2		257.0	13	7	2	[145,145]:5,[198,198]:2	0.5384615384615385	3.417326024554351	0.00031619749213698735	0.03543725552120626
IQCF3		155.0	23	21	5	[12,22]:5,[45,51]:6,[74,79]:5,[115,115]:2,[141,144]:3	0.537967487051326	3.4134632952461255	0.00032071399071579	0.0356535674356223
MSC		207.0	28	21	6	[25,28]:3,[34,35]:3,[45,45]:2,[109,124]:8,[148,151]:3,[206,206]:2	0.5370958407597458	3.4066483492561024	0.0003288289979937516	0.03603573242981412
MAX	Rec	161.0	27	15	3	[19,19]:3,[51,51]:9,[89,91]:3	0.5370373922290348	3.4061913707961016	0.0003293799264531432	0.03603573242981412
TRAT1		187.0	41	30	6	[10,12]:3,[21,25]:5,[31,39]:8,[80,84]:5,[100,105]:4,[108,111]:5	0.5364537390685948	3.4016280923152244	0.0003349286423507381	0.03635426247877893
HIST1H2AK		131.0	30	26	6	[19,33]:6,[42,54]:6,[59,61]:3,[73,79]:4,[105,105]:2,[120,128]:5	0.5357599390894674	3.3962036335280934	0.00034163753088227634	0.03679276065009515
PRAMEF20		952.0	13	8	2	[63,67]:4,[94,94]:4	0.5351633194395415	3.391538976854731	0.0003475063843798041	0.037134693865702326
TAC4		114.0	6	4	1	[70,72]:4	0.5345205254370112	3.386513307093648	0.00035393421704863235	0.0375306398616569
CRYGA		175.0	19	13	3	[46,48]:3,[135,142]:6,[153,156]:4	0.5341626624625456	3.3837153638609743	0.00035756048937292146	0.03762573546569254
NTPCR		191.0	15	9	3	[44,44]:2,[114,116]:3,[130,132]:4	0.5333346120245253	3.3772412710246553	0.0003660839857071639	0.038230816234645866
OR52L1		330.0	62	42	12	[5,7]:3,[18,21]:3,[71,72]:3,[105,109]:6,[129,136]:4,[157,163]:4,[170,170]:2,[235,235]:4,[252,263]:5,[273,273]:2,[318,318]:3,[328,329]:3	0.5327614706035559	3.372760178331116	0.00037209370123949794	0.03856625316982315
CCND1	Dom	296.0	39	27	4	[36,41]:3,[258,260]:3,[271,271]:2,[281,293]:19	0.5307651091533363	3.3571516733776376	0.0003937495007521896	0.040506245282603985
RAX2		231.0	7	4	1	[102,103]:4	0.5295876517768754	3.3479457506270367	0.00040706473117265276	0.04153002017370362
MARCH1		290.0	50	37	9	[1,12]:6,[33,38]:5,[44,52]:7,[57,64]:6,[78,81]:4,[87,87]:2,[92,96]:3,[104,104]:2,[146,146]:2	0.5291758462493585	3.3447260588145102	0.0004118193893270203	0.04153002017370362
LCE1C		119.0	27	19	5	[14,18]:4,[49,52]:3,[65,66]:4,[79,84]:5,[111,115]:3	0.5290966720635789	3.344107037308764	0.0004127394097785561	0.04153002017370362
H2BFWT		176.0	31	23	7	[3,3]:2,[31,31]:2,[64,74]:6,[86,86]:2,[111,120]:5,[139,139]:2,[147,155]:4	0.527607293338179	3.332462364842036	0.00043040556124463223	0.04299377291128446
INIP		105.0	13	13	2	[14,33]:8,[55,59]:5	0.5270366244703957	3.328000603747314	0.00043735838448254947	0.043373995180517586
LYZL6		149.0	19	10	5	[28,28]:2,[90,90]:2,[104,104]:2,[122,122]:2,[135,135]:2	0.5263157894736842	3.3223647723122935	0.0004462896204001778	0.043943588694403214
ERCC2	Rec	761.0	62	36	10	[20,20]:3,[47,51]:7,[62,62]:2,[161,161]:2,[214,214]:8,[222,222]:2,[480,484]:3,[511,512]:3,[603,607]:4,[675,675]:2	0.5254594676275907	3.3156696401381818	0.0004571191710170223	0.04469069342177058
DPPA3		160.0	30	19	5	[21,23]:3,[35,36]:3,[82,87]:4,[106,113]:6,[137,137]:3	0.5245830355860612	3.308817276874959	0.00046845480806080635	0.04545997512194495
ARV1		305.0	11	7	2	[43,46]:3,[168,169]:4	0.5243446079494953	3.306953136017112	0.000471583347293299	0.04545997512194495
S100A16		104.0	9	6	2	[6,9]:3,[88,91]:3	0.5230141250151542	3.296550786548334	0.0004893995814428132	0.04620997405367421
SPATA45		99.0	9	5	2	[45,46]:3,[68,68]:2	0.5230126180486808	3.296539004366474	0.0004894201096725741	0.04620997405367421
UBE2G2		166.0	9	5	2	[9,9]:2,[34,35]:3	0.5230126180486808	3.296539004366474	0.0004894201096725741	0.04620997405367421
AREG		506.0	29	21	5	[36,41]:4,[59,64]:4,[82,90]:6,[134,134]:2,[153,159]:5	0.522536725635085	3.292818250745372	0.0004959428529469779	0.04650729406717068
NMUR1		427.0	36	21	8	[75,75]:2,[257,260]:3,[274,274]:2,[285,285]:2,[289,295]:4,[314,314]:3,[328,329]:3,[419,419]:2	0.5213278958372974	3.2833670434579325	0.0005128750866246535	0.04777015587243817
OPRPN		249.0	49	33	8	[27,28]:3,[54,57]:4,[93,94]:3,[98,101]:4,[105,112]:7,[119,125]:5,[209,212]:4,[241,242]:3	0.5198228084938188	3.271599553530936	0.0005347046507875081	0.04946915175238791
CASC3		704.0	57	34	11	[232,236]:4,[247,250]:3,[301,301]:2,[456,456]:2,[487,490]:3,[523,524]:3,[550,550]:2,[603,603]:3,[645,650]:5,[657,660]:5,[681,681]:2	0.5183889156610548	3.260388696208235	0.0005562981275717723	0.050452422623950235
