entrez	symbol	chromosome	tstart	tend
976	ADGRE5	chr19	14499261	14518821
1019	CDK4	chr12	58142311	58145500
1026	CDKN1A	chr6	36645614	36653574
1028	CDKN1C	chr11	2905007	2906719
1071	CETP	chr16	56995892	57017575
1081	CGA	chr6	87795477	87797918
1117	CHI3L2	chr1	111773363	111784983
1121	CHM	chrX	85119638	85302536
1123	CHN1	chr2	175664847	175816937
1128	CHRM1	chr11	62677193	62678572
1129	CHRM2	chr7	136699613	136701010
1131	CHRM3	chr1	240070752	240072521
1132	CHRM4	chr11	46406671	46408107
1135	CHRNA2	chr8	27319149	27328575
1136	CHRNA3	chr15	78885456	78911258
1137	CHRNA4	chr20	61978093	61991052
1138	CHRNA5	chr15	78858062	78885592
1140	CHRNB1	chr17	7348447	7360039
1141	CHRNB2	chr1	154540521	154548405
1142	CHRNB3	chr8	42552690	42591758
1143	CHRNB4	chr15	78917300	78933475
1144	CHRND	chr2	233390926	233400019
1145	CHRNE	chr17	4802034	4806358
1161	ERCC8	chr5	60170445	60240835
1173	AP2M1	chr3	183894782	183901401
1180	CLCN1	chr7	143013306	143049055
1188	CLCNKB	chr1	16370988	16383408
1200	TPP1	chr11	6635780	6640497
1201	CLN3	chr16	28488840	28503080
1234	CCR5	chr3	46414394	46415449
1244	ABCC2	chr10	101544365	101611385
1270	CNTF	chr11	58390226	58391992
1277	COL1A1	chr17	48262866	48278874
1278	COL1A2	chr7	94024344	94059702
1281	COL3A1	chr2	189839216	189876497
1285	COL4A3	chr2	228102678	228176583
1286	COL4A4	chr2	227835292	228012199
1289	COL5A1	chr9	137582757	137734146
1290	COL5A2	chr2	189898799	190044330
1294	COL7A1	chr3	48602214	48632592
1300	COL10A1	chr6	116441239	116446655
1308	COL17A1	chr10	105791996	105840431
1311	COMP	chr19	18893728	18902078
1314	COPA	chr1	160259950	160312960
1368	CPM	chr12	69250220	69326617
1371	CPOX	chr3	98297072	98312348
1376	CPT2	chr1	53662616	53679264
1380	CR2	chr1	207627764	207658896
1384	CRAT	chr9	131857679	131870359
1392	CRH	chr8	67089125	67089712
1400	CRMP1	chr4	5823490	5894696
1401	CRP	chr1	159683318	159684275
1406	CRX	chr19	48337701	48343221
1409	CRYAA	chr21	44589210	44592387
1415	CRYBB2	chr22	25617397	25627736
1435	CSF1	chr1	110453646	110467808
1437	CSF2	chr5	131409517	131411542
1440	CSF3	chr17	38171728	38173209
1441	CSF3R	chr1	36931700	36945097
1446	CSN1S1	chr4	70798274	70810720
1452	CSNK1A1	chr5	148885008	148930527
1471	CST3	chr20	23614556	23618499
1476	CSTB	chr21	45194086	45196150
1477	CSTF1	chr20	54970609	54978780
1479	CSTF3	chr11	33106636	33163308
1497	CTNS	chr17	3543501	3564025
1513	CTSK	chr1	150769278	150779281
1536	CYBB	chrX	37639331	37670167
1543	CYP1A1	chr15	75012833	75015438
1544	CYP1A2	chr15	75042080	75047426
1545	CYP1B1	chr2	38297868	38302531
1548	CYP2A6	chr19	41349704	41356331
1549	CYP2A7	chr19	41381601	41388115
1553	CYP2A13	chr19	41594377	41601843
1555	CYP2B6	chr19	41497211	41522729
1557	CYP2C19	chr10	96522463	96612668
1558	CYP2C8	chr10	96796888	96829159
1559	CYP2C9	chr10	96698440	96748782
1562	CYP2C18	chr10	96443577	96495198
1571	CYP2E1	chr10	135340900	135352465
1573	CYP2J2	chr1	60359326	60392418
1579	CYP4A11	chr1	47395790	47407105
1580	CYP4B1	chr1	47264754	47284483
1581	CYP7A1	chr8	59404037	59412657
1583	CYP11A1	chr15	74630316	74659926
1585	CYP11B2	chr8	143993399	143999256
1586	CYP17A1	chr10	104590462	104597118
1588	CYP19A1	chr15	51503008	51535109
1589	CYP21A2	chr6	32006200	32008908
1591	CYP24A1	chr20	52773721	52790118
1592	CYP26A1	chr10	94833692	94837058
1593	CYP27A1	chr2	219646906	219679750
1594	CYP27B1	chr12	58156928	58160824
1595	CYP51A1	chr7	91742982	91763678
1604	CD55	chr1	207495111	207533011
1621	DBH	chr9	136501494	136523566
1633	DCK	chr4	71859553	71892475
1635	DCTD	chr4	183812555	183836730
1636	ACE	chr17	61554456	61574724
1641	DCX	chrX	110544918	110654202
1643	DDB2	chr11	47236688	47260397
1644	DDC	chr7	50530932	50611783
1727	CYB5R3	chr22	43015782	43032852
1728	NQO1	chr16	69744882	69752441
1733	DIO1	chr1	54359884	54375669
1734	DIO2	chr14	80669035	80677815
1738	DLD	chr7	107533645	107559701
1774	DNASE1L1	chrX	153631051	153633909
1785	DNM2	chr19	10828919	10941720
1791	DNTT	chr10	98064255	98097978
1806	DPYD	chr1	97544535	98348930
1811	SLC26A3	chr7	107408021	107434954
1812	DRD1	chr5	174868765	174870102
1813	DRD2	chr11	113281452	113295373
1814	DRD3	chr3	113847566	113890839
1815	DRD4	chr11	637305	640600
1816	DRD5	chr4	9783654	9785084
1822	ATN1	chr12	7043339	7050715
1831	TSC22D3	chrX	106957752	107018649
1832	DSP	chr6	7542149	7586108
1836	SLC26A2	chr5	149357216	149361373
1854	DUT	chr15	48623713	48634272
1861	TOR1A	chr9	132576254	132586364
1896	EDA	chrX	68836153	69255456
1910	EDNRB	chr13	78470580	78493750
2006	ELN	chr7	73442518	73483027
2010	EMD	chrX	153607845	153609554
2022	ENG	chr9	130577964	130616634
2038	EPB42	chr15	43489503	43513023
2046	EPHA8	chr1	22895781	22928231
2052	EPHX1	chr1	226016431	226033045
2056	EPO	chr7	100319174	100320753
2057	EPOR	chr19	11488663	11494883
2064	ERBB2	chr17	37856492	37884294
2065	ERBB3	chr12	56474085	56495836
2068	ERCC2	chr19	45854890	45873489
2099	ESR1	chr6	152129048	152446480
2108	ETFA	chr15	76518187	76588078
2109	ETFB	chr19	51848468	51869580
2131	EXT1	chr8	118811954	119123285
2135	EXTL2	chr1	101339501	101343461
2147	F2	chr11	46740786	46760955
2153	F5	chr1	169483554	169555624
2157	F8	chrX	154065875	154250827
2158	F9	chrX	138612924	138644227
2159	F10	chr13	113777170	113803828
2161	F12	chr5	176829296	176836528
2162	F13A1	chr6	6145855	6318897
2169	FABP2	chr4	120240199	120243257
2176	FANCC	chr9	97863992	98011573
2177	FANCD2	chr3	10070342	10142943
2184	FAH	chr15	80445397	80478548
2199	FBLN2	chr3	13611856	13679416
2200	FBN1	chr15	48703190	48936966
2203	FBP1	chr9	97365666	97401592
2214	FCGR3A	chr1	161512805	161519841
2215	FCGR3B	chr1	161594308	161600992
2235	FECH	chr18	55217947	55253852
2243	FGA	chr4	155505279	155511839
2246	FGF1	chr5	141974858	141993692
2266	FGG	chr4	155525989	155533761
2271	FH	chr1	241661131	241683022
2280	FKBP1A	chr20	1350676	1373642
2328	FMO3	chr1	171061800	171086579
2348	FOLR1	chr11	71903218	71907218
2352	FOLR3	chr11	71846999	71850872
2356	FPGS	chr9	130565204	130575880
2358	FPR2	chr19	52271912	52272964
2395	FXN	chr9	71650699	71687675
2488	FSHB	chr11	30253450	30255344
2512	FTL	chr19	49468765	49469989
2517	FUCA1	chr1	24172208	24194776
2520	GAST	chr17	39871689	39872121
2524	FUT2	chr19	49206214	49207242
2525	FUT3	chr19	5843768	5844850
2528	FUT6	chr19	5831502	5832578
2538	G6PC	chr17	41052894	41063440
2539	G6PD	chrX	153760218	153775085
2548	GAA	chr17	78078386	78093127
2554	GABRA1	chr5	161277817	161324425
2555	GABRA2	chr4	46252328	46390723
2556	GABRA3	chrX	151336703	151533042
2557	GABRA4	chr4	46930245	46995441
2558	GABRA5	chr15	27114396	27193377
2559	GABRA6	chr5	161113237	161128776
2560	GABRB1	chr4	47033669	47428032
2561	GABRB2	chr5	160721091	160973649
2562	GABRB3	chr15	26792943	27018871
2566	GABRG2	chr5	161495006	161580371
2571	GAD1	chr2	171675102	171716389
2572	GAD2	chr10	26505739	26589887
2581	GALC	chr14	88401079	88459843
2582	GALE	chr1	24122442	24125497
2584	GALK1	chr17	73754140	73761217
2592	GALT	chr9	34646702	34650443
2593	GAMT	chr19	1397361	1401475
2618	GART	chr21	34876434	34911621
2621	GAS6	chr13	114523840	114566715
2625	GATA3	chr10	8097619	8115983
2629	GBA	chr1	155204789	155210508
2632	GBE1	chr3	81539561	81810668
2638	GC	chr4	72618235	72649771
2642	GCGR	chr17	79767655	79771562
2643	GCH1	chr14	55310515	55369381
2645	GCK	chr7	44184738	44228552
2668	GDNF	chr5	37815756	37834925
2677	GGCX	chr2	85777060	85788551
2688	GH1	chr17	61994672	61995867
2690	GHR	chr5	42565965	42719523
2692	GHRHR	chr7	31003684	31018856
2697	GJA1	chr6	121767994	121769139
2705	GJB1	chrX	70443558	70444406
2707	GJB3	chr1	35250364	35251173
2717	GLA	chrX	100652800	100662891
2731	GLDC	chr9	6533020	6645499
2737	GLI3	chr7	42003931	42262852
2743	GLRB	chr4	157999177	158091877
2752	GLUL	chr1	182353543	182357872
2760	GM2A	chr5	150632778	150647198
2779	GNAT1	chr3	50229159	50232385
2796	GNRH1	chr8	25276938	25280858
2798	GNRHR	chr4	68606201	68620053
2811	GP1BA	chr17	4835900	4837855
2812	GP1BB	chr22	19711376	19711984
2813	GP2	chr16	20322548	20339127
2815	GP9	chr3	128780583	128781113
2820	GPD2	chr2	157332618	157439427
2821	GPI	chr19	34855815	34890938
2824	GPM6B	chrX	13791003	13835023
2829	XCR1	chr3	46062441	46063439
2870	GRK6	chr5	176853573	176868825
2876	GPX1	chr3	49394824	49395711
2886	GRB7	chr17	37898501	37903147
2890	GRIA1	chr5	152870449	153190782
2891	GRIA2	chr4	158142195	158284193
2892	GRIA3	chrX	122318388	122616892
2893	GRIA4	chr11	105481725	105850463
2897	GRIK1	chr21	30909554	31311818
2899	GRIK3	chr1	37267455	37499709
2904	GRIN2B	chr12	13715720	14019142
2906	GRIN2D	chr19	48901650	48947191
2907	GRINA	chr8	145065392	145067006
2908	NR3C1	chr5	142658932	142780404
2912	GRM2	chr3	51743000	51752125
2913	GRM3	chr7	86394462	86493709
2914	GRM4	chr6	33990601	34123167
2915	GRM5	chr11	88241763	88781040
2916	GRM6	chr5	178408661	178421945
2917	GRM7	chr3	6903076	7782090
2918	GRM8	chr7	126079176	126883258
2922	GRP	chr18	56886501	56897697
2934	GSN	chr9	124044730	124094878
2936	GSR	chr8	30537040	30585352
2937	GSS	chr20	33516634	33539655
2939	GSTA2	chr6	52615378	52622745
2940	GSTA3	chr6	52761607	52770632
2944	GSTM1	chr1	110230496	110235914
2946	GSTM2	chr1	110211047	110217455
2947	GSTM3	chr1	110279696	110282909
2949	GSTM5	chr1	110255240	110260045
2950	GSTP1	chr11	67351934	67354045
2956	MSH6	chr2	48010373	48033996
2977	GUCY1A2	chr11	106558278	106888781
2978	GUCA1A	chr6	42141352	42147138
2982	GUCY1A1	chr4	156618020	156651380
2990	GUSB	chr7	65425887	65447170
3000	GUCY2D	chr17	7906366	7919845
3030	HADHA	chr2	26414122	26467464
3039	HBA1	chr16	222912	223596
3040	HBA2	chr16	226716	227407
3042	HBM	chr16	215997	216704
3043	HBB	chr11	5246831	5248251
3045	HBD	chr11	5254197	5255663
3047	HBG1	chr11	5269592	5271034
3048	HBG2	chr11	5274510	5275958
3053	SERPIND1	chr22	21133601	21141351
3069	HDLBP	chr2	242169019	242207063
3073	HEXA	chr15	72636421	72668313
3074	HEXB	chr5	73981086	74016997
3075	CFH	chr1	196621248	196716440
3077	HFE	chr6	26087669	26093462
3081	HGD	chr3	120347230	120394716
3082	HGF	chr7	81331900	81399287
3098	HK1	chr10	71055389	71160888
3141	HLCS	chr21	38126550	38338938
3145	HMBS	chr11	118958965	118963990
3155	HMGCL	chr1	24128956	24151905
3176	HNMT	chr2	138722062	138771697
3184	HNRNPD	chr4	83276490	83294831
3191	HNRNPL	chr19	39327365	39340001
3209	HOXA13	chr7	27237820	27239696
3239	HOXD13	chr2	176952670	176959455
3248	HPGD	chr4	175413110	175443602
3251	HPRT1	chrX	133607389	133634104
3257	HPS1	chr10	100177324	100202997
3263	HPX	chr11	6452444	6462193
3269	HRH1	chr3	11300724	11302184
3284	HSD3B2	chr1	119958043	119965240
3291	HSD11B2	chr16	67465152	67470903
3293	HSD17B3	chr9	98997745	99064386
3295	HSD17B4	chr5	118788271	118877686
3320	HSP90AA1	chr14	102548052	102605741
3347	HTN3	chr4	70896458	70898934
3350	HTR1A	chr5	63256281	63257546
3351	HTR1B	chr6	78171951	78173120
3352	HTR1D	chr1	23519582	23520712
3354	HTR1E	chr6	87725053	87726147
3355	HTR1F	chr3	88039900	88040997
3356	HTR2A	chr13	47408975	47470968
3357	HTR2B	chr2	231973234	231988478
3358	HTR2C	chrX	113961346	114141975
3359	HTR3A	chr11	113846030	113860482
3360	HTR4	chr5	147830751	147929827
3362	HTR6	chr1	19992247	20005858
3363	HTR7	chr10	92502242	92617428
3375	IAPP	chr12	21526286	21531357
3383	ICAM1	chr19	10381836	10395960
3384	ICAM2	chr17	62080110	62084051
3423	IDS	chrX	148564280	148586667
3425	IDUA	chr4	980873	998178
3426	CFI	chr4	110662052	110723127
3437	IFIT3	chr10	91098416	91099882
3440	IFNA2	chr9	21384765	21385328
3454	IFNAR1	chr21	34697361	34727852
3455	IFNAR2	chr21	34614228	34635802
3458	IFNG	chr12	68549136	68553395
3459	IFNGR1	chr6	137519171	137540464
3481	IGF2	chr11	2154220	2161526
3482	IGF2R	chr6	160390279	160526113
3484	IGFBP1	chr7	45928252	45932687
3485	IGFBP2	chr2	217498277	217528824
3486	IGFBP3	chr7	45954422	45960739
3488	IGFBP5	chr2	217541477	217559498
3552	IL1A	chr2	113532647	113541347
3553	IL1B	chr2	113587941	113593806
3554	IL1R1	chr2	102774185	102793216
3557	IL1RN	chr2	113885202	113890445
3558	IL2	chr4	123370673	123377595
3559	IL2RA	chr10	6060015	6104114
3560	IL2RB	chr22	37524139	37540212
3561	IL2RG	chrX	70327589	70331389
3562	IL3	chr5	131396400	131398481
3565	IL4	chr5	132009743	132018276
3566	IL4R	chr16	27351525	27375148
3574	IL7	chr8	79633589	79710444
3576	CXCL8	chr4	74606376	74607750
3577	CXCR1	chr2	219028885	219029934
3578	IL9	chr5	135228083	135231505
3586	IL10	chr1	206941984	206945780
3588	IL10RB	chr21	34640683	34668659
3589	IL11	chr19	55877378	55880307
3592	IL12A	chr3	159706844	159713343
3598	IL13RA2	chrX	114239760	114251832
3600	IL15	chr4	142641622	142653998
3611	ILK	chr11	6625502	6631839
3614	IMPDH1	chr7	128034331	128049955
3635	INPP5D	chr2	233925189	234113363
3645	INSRR	chr1	156810668	156828413
3651	PDX1	chr13	28494276	28498835
3654	IRAK1	chrX	153277313	153285263
3655	ITGA6	chr2	173292517	173368977
3674	ITGA2B	chr17	42449735	42466841
3676	ITGA4	chr2	182322382	182400251
3684	ITGAM	chr16	31273012	31343025
3687	ITGAX	chr16	31367207	31393225
3689	ITGB2	chr21	46306286	46330697
3690	ITGB3	chr17	45331228	45387567
3694	ITGB6	chr2	160958250	161056574
3695	ITGB7	chr12	53585343	53594227
3730	ANOS1	chrX	8501039	8700077
3732	CD82	chr11	44616213	44640673
3736	KCNA1	chr12	5020545	5022029
3757	KCNH2	chr7	150642456	150675001
3758	KCNJ1	chr11	128709023	128710162
3759	KCNJ2	chr17	68171181	68172461
3762	KCNJ5	chr11	128781169	128786623
3767	KCNJ11	chr11	17408469	17409638
3776	KCNK2	chr1	215256729	215408485
3784	KCNQ1	chr11	2466329	2869230
3817	KLK2	chr19	51376730	51381812
3827	KNG1	chr3	186435332	186461571
3849	KRT2	chr12	53038806	53045926
3852	KRT5	chr12	52908729	52914080
3857	KRT9	chr17	39724416	39728244
3859	KRT12	chr17	39017916	39023438
3861	KRT14	chr17	39738690	39743086
3872	KRT17	chr17	39775849	39780761
3875	KRT18	chr12	53342958	53346623
3897	L1CAM	chrX	153128121	153141291
3914	LAMB3	chr1	209788619	209823464
3931	LCAT	chr16	67973810	67978004
3949	LDLR	chr19	11200225	11240346
3952	LEP	chr7	127892072	127894813
3953	LEPR	chr1	66031249	66102695
3973	LHCGR	chr2	48914839	48982810
3978	LIG1	chr19	48618909	48665607
3985	LIMK2	chr22	31621702	31674424
3988	LIPA	chr10	90974588	91007405
4014	LOR	chr1	153233426	153234361
4023	LPL	chr8	19796952	19819728
4046	LSP1	chr11	1874375	1908790
4048	LTA4H	chr12	96394770	96437153
4049	LTA	chr6	31540520	31541467
4051	CYP4F3	chr19	15752226	15770192
4053	LTBP2	chr14	74967590	75078647
4059	BCAM	chr19	45312382	45324079
4069	LYZ	chr12	69742189	69746996
4086	SMAD1	chr4	146435766	146479083
4087	SMAD2	chr18	45368201	45423127
4090	SMAD5	chr5	135489450	135513165
4094	MAF	chr16	79628360	79633799
4109	MAGEA10	chrX	151302986	151304092
4110	MAGEA11	chrX	148794820	148798433
4128	MAOA	chrX	43515590	43603757
4129	MAOB	chrX	43626716	43703011
4143	MAT1A	chr10	82033540	82049179
4153	MBL2	chr10	54527900	54531395
4158	MC2R	chr18	13884627	13885517
4192	MDK	chr11	46403608	46404297
4210	MEFV	chr16	3293144	3306587
4254	KITLG	chr12	88900090	88939642
4256	MGP	chr12	15035076	15038725
4286	MITF	chr3	69788749	70014396
4292	MLH1	chr3	37035039	37092141
4311	MME	chr3	154801957	154898245
4350	MPG	chr16	129415	135773
4353	MPO	chr17	56348020	56358119
4357	MPST	chr22	37420233	37425552
4359	MPZ	chr1	161275477	161279725
4515	MTCP1	chrX	154293768	154294285
4528	MTIF2	chr2	55463787	55490994
4547	MTTP	chr4	100485253	100544002
4594	MUT	chr6	49399444	49427179
4601	MXI1	chr10	111967567	112044742
4607	MYBPC3	chr11	47353624	47373057
4610	MYCL	chr1	40363047	40367560
4625	MYH7	chr14	23882968	23902941
4633	MYL2	chr12	111348884	111356997
4634	MYL3	chr3	46899875	46904880
4653	MYOC	chr1	171605068	171621751
4668	NAGA	chr22	42456286	42464579
4669	NAGLU	chr17	40688291	40696253
4683	NBN	chr8	90949253	90996789
4684	NCAM1	chr11	112832334	113146106
4688	NCF2	chr1	183525256	183559464
4689	NCF4	chr22	37260085	37273862
4693	NDP	chrX	43809048	43817891
4758	NEU1	chr6	31827499	31830553
4771	NF2	chr22	29999988	30090788
4835	NQO2	chr6	3010258	3019886
4842	NOS1	chr12	117655850	117768874
4843	NOS2	chr17	26084275	26125835
4846	NOS3	chr7	150690892	150711254
4850	CNOT4	chr7	135047640	135123079
4852	NPY	chr7	24324860	24329199
4854	NOTCH3	chr19	15271476	15308390
4860	PNP	chr14	20940468	20944757
4881	NPR1	chr1	153651585	153665887
4883	NPR3	chr5	32710769	32786448
4886	NPY1R	chr4	164246458	164247706
4887	NPY2R	chr4	156135092	156136234
4914	NTRK1	chr1	156811873	156851431
4915	NTRK2	chr9	87285664	87636349
4921	DDR2	chr1	162688854	162750033
4935	GPR143	chrX	9693789	9733857
4938	OAS1	chr12	113344845	113369724
4939	OAS2	chr12	113416414	113448286
4942	OAT	chr10	126086514	126100740
4952	OCRL	chrX	128674718	128724244
4978	OPCML	chr11	132290090	132812987
4985	OPRD1	chr1	29138896	29189792
4986	OPRK1	chr8	54141773	54163597
4987	OPRL1	chr20	62724041	62730236
4988	OPRM1	chr6	154360296	154567916
5004	ORM1	chr9	117085414	117088634
5005	ORM2	chr9	117092185	117095411
5009	OTC	chrX	38211950	38280332
5019	OXCT1	chr5	41731834	41870460
5020	OXT	chr20	3052302	3053061
5021	OXTR	chr3	8794666	8809873
5033	P4HA1	chr10	74767983	74834641
5034	P4HB	chr17	79801891	79818347
5053	PAH	chr12	103232956	103310908
5077	PAX3	chr2	223065896	223163334
5080	PAX6	chr11	31811485	31824380
5091	PC	chr11	66616373	66639630
5092	PCBD1	chr10	72643710	72645686
5096	PCCB	chr3	135969218	136048865
5104	SERPINA5	chr14	95053700	95058573
5106	PCK2	chr14	24566099	24573170
5122	PCSK1	chr5	95728708	95768746
5139	PDE3A	chr12	20522219	20833202
5140	PDE3B	chr11	14665622	14891203
5143	PDE4C	chr19	18321742	18344001
5145	PDE6A	chr5	149240461	149324236
5152	PDE9A	chr21	44073925	44192632
5160	PDHA1	chrX	19362156	19377768
5162	PDHB	chr3	58413764	58419536
5172	SLC26A4	chr7	107302087	107353067
5184	PEPD	chr19	33878253	34003681
5189	PEX1	chr7	92116774	92157749
5190	PEX6	chr6	42932076	42946888
5191	PEX7	chr6	137143804	137234661
5193	PEX12	chr17	33902804	33905040
5208	PFKFB2	chr1	207228063	207252361
5213	PFKM	chr12	48501157	48539488
5224	PGAM2	chr7	44102366	44105128
5230	PGK1	chrX	77359838	77380924
5241	PGR	chr11	100909850	100999801
5243	ABCB1	chr7	87133562	87230394
5251	PHEX	chrX	22051124	22266067
5257	PHKB	chr16	47495262	47733274
5261	PHKG2	chr16	30760142	30768415
5265	SERPINA1	chr14	94844789	94849574
5271	SERPINB8	chr18	61645543	61654509
5276	SERPINI2	chr3	167159900	167189634
5303	PIN4	chrX	71401561	71482643
5308	PITX2	chr4	111539284	111554154
5311	PKD2	chr4	88928886	88996843
5313	PKLR	chr1	155260366	155271186
5317	PKP1	chr1	201252831	201297961
5318	PKP2	chr12	32945361	33049665
5319	PLA2G1B	chr12	120759999	120763833
5320	PLA2G2A	chr1	20302197	20305266
5327	PLAT	chr8	42033514	42050703
5328	PLAU	chr10	75671314	75676320
