entrez	length_RefSeq	domains_InterPro	duplicability	ohnolog	essentiality_percentage	expressed_tissues_rnaseq	expressed_tissues_protein	ppin_degree	ppin_betweenness	ppin_clustering	complexes	mirna	multiDomain	ppin_hub	ppin_central	old	metazoans	vertebrates	mammalsPrimates	essentiality_oneCellLine	rnaseq_never	rnaseq_selective	rnaseq_middle	rnaseq_ubiquitous	protein_low	protein_high
154	413	4	0	1	0	36	36	257	256405.643305528	0.0344722762645914	26	14	1	1	1	0	1	0	0	0	0	0	1	0	0	0
155	408	4	0	1	1.69491525423729	7	2	7	108.948373090431	0.285714285714286	3	7	1	0	0	0	1	0	0	1	0	0	1	0	1	0
164	825	7	0	1	15.9420289855072	43	44	55	9351.72443545411	0.109090909090909	18	46	1	1	1	1	0	0	0	1	0	0	0	1	0	1
175	346	2	0	0	0	43	44	6	309.9704301311	0.2	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1
178	1532	8	0	0	1.12994350282486	42	43	52	13224.0956769407	0.0693815987933635	3	9	1	1	1	1	0	0	0	1	0	0	0	1	0	1
182	1218	10	0	1	0	43	40	15	911.844139579836	0.104761904761905	17	29	1	0	0	1	0	0	0	0	0	0	0	1	0	0
183	485	8	0	0	14.4927536231884	34	29	27	16161.0262092132	0.0341880341880342	7	1	1	0	1	1	0	0	0	1	0	0	1	0	0	0
185	394	4	0	1	0	36	2	41	12893.4147252506	0.0487804878048781	14	5	1	1	1	0	1	0	0	0	0	0	1	0	1	0
186	363	4	0	1	0	4	36	12	863.199237279201	0.0454545454545455	3	11	1	0	0	0	1	0	0	0	0	1	0	0	0	0
189	392	6	0	0	0.564971751412429	2	2	4	54.3072092762694	0	1	7	1	0	0	1	0	0	0	1	0	1	0	0	1	0
190	470	5	0	1	0.581395348837209	6	36	17	259.11354080403	0.176470588235294	3	1	1	0	0	1	0	0	0	1	0	1	0	0	0	0
191	434	3	1	0	32.3699421965318	43	44	75	19155.543900002	0.0861261261261261	3	46	1	1	1	1	0	0	0	1	0	0	0	1	0	1
203	210	3	0	1	0	43	21	26	3701.69221628986	0.0523076923076923	3	17	1	0	0	1	0	0	0	0	0	0	0	1	0	0
210	359	3	0	0	14.0939597315436	43	26	22	444.325085905637	0.346320346320346	3	7	1	0	0	1	0	0	0	1	0	0	0	1	0	0
211	657	7	0	1	11.4942528735632	43	44	52	15690.7721399611	0.0180995475113122	3	2	1	1	1	1	0	0	0	1	0	0	0	1	0	1
213	609	5	0	0	0	25	32	185	390413.89538848	0.0190951821386604	5	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0
215	745	8	0	1	3.97727272727273	43	36	28	7667.65979562769	0.0952380952380952	3	4	1	0	0	1	0	0	0	1	0	0	0	1	0	0
216	501	6	1	1	0	43	23	5	258.883025783773	0	1	2	1	0	0	1	0	0	0	0	0	0	0	1	0	0
217	517	6	1	1	0	43	19	38	12336.1716273898	0.0597439544807966	1	11	1	0	1	1	0	0	0	0	0	0	0	1	0	0
219	517	6	1	1	6.99300699300699	43	42	45	10865.9177109472	0.105050505050505	3	39	1	1	1	1	0	0	0	1	0	0	0	1	0	1
220	512	6	1	1	3.38983050847458	40	32	7	4164.59377224707	0	3	32	1	0	0	1	0	0	0	1	0	0	0	1	0	0
221	468	7	1	1	1.92307692307692	41	36	39	9957.55739904219	0.0242914979757085	3	20	1	0	1	1	0	0	0	1	0	0	0	1	0	0
222	385	3	1	1	0	13	12	5	66.8781669857906	0.1	3	3	1	0	0	1	0	0	0	0	0	0	1	0	0	0
223	518	6	0	0	0	43	43	16	302.585487696418	0.0333333333333333	3	73	1	0	0	1	0	0	0	0	0	0	0	1	0	1
224	508	7	0	1	0	43	34	64	11631.8101732387	0.0322420634920635	3	3	1	1	1	1	0	0	0	0	0	0	0	1	0	0
229	364	3	1	1	0.564971751412429	17	5	29	16606.8380897517	0.0566502463054187	3	2	1	0	1	1	0	0	0	1	0	0	1	0	1	0
240	674	9	0	1	0.568181818181818	33	15	56	53368.7576643367	0.0201298701298701	1	2	1	1	1	1	0	0	0	1	0	0	1	0	0	0
249	524	3	0	1	2.89855072463768	40	33	10	1053.28131731352	0.133333333333333	3	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0
268	560	5	0	0	1.16959064327485	5	36	8	666.457363194226	0	2	17	1	0	0	0	0	1	0	1	0	1	0	0	0	0
270	780	5	0	1	0.564971751412429	9	6	6	305.371905648937	0.4	3	2	1	0	0	1	0	0	0	1	0	0	1	0	1	0
272	776	5	0	1	0	40	28	3	79.4488455438042	0.333333333333333	1	27	1	0	0	1	0	0	0	0	0	0	0	1	0	0
275	403	6	0	0	0	41	43	2	0	1	3	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1
279	511	6	1	0	1.43884892086331	7	2	5	471.330090253339	0	3	14	1	0	0	1	0	0	0	1	0	0	1	0	1	0
302	357	5	1	1	1.12994350282486	43	34	141	57651.7820027131	0.117933130699088	4	7	1	1	1	1	0	0	0	1	0	0	0	1	0	0
312	357	5	0	1	1.12994350282486	15	10	9	195.547383726647	0.0555555555555556	3	14	1	0	0	1	0	0	0	1	0	0	1	0	0	0
324	2861	5	0	1	1.36986301369863	42	37	211	169022.52904161	0.0353419092755586	15	18	1	1	1	1	0	0	0	1	0	0	0	1	0	0
326	545	9	0	0	14.375	0	38	98	27532.207855835	0.0881548495686935	1	9	1	1	1	1	0	0	0	1	1	0	0	0	0	0
332	165	1	0	0	36.7816091954023	16	19	68	18643.2546412382	0.0939420544337138	25	76	0	1	1	1	0	0	0	1	0	0	1	0	0	0
333	651	11	0	0	1.71428571428571	36	4	52	21369.0667665473	0.0987933634992458	3	2	1	1	1	0	0	1	0	1	0	0	1	0	1	0
335	267	1	0	0	1.77514792899408	20	0	86	149700.646603698	0.0281805745554036	31	22	0	1	1	0	0	1	0	1	0	0	1	0	1	0
337	396	3	0	0	1.44927536231884	7	7	4	52.5726963920444	0.333333333333333	1	14	1	0	0	0	0	1	0	1	0	0	1	0	1	0
338	4563	8	0	0	0	5	7	62	42550.0946335472	0.0475938656795346	47	11	1	1	1	0	1	0	0	0	0	1	0	0	1	0
344	101	2	0	0	0	13	2	3	41.9310741521939	0.333333333333333	8	14	1	0	0	0	0	0	1	0	0	0	1	0	1	0
345	99	2	0	0	0	7	36	5	241.634954799059	0.2	9	40	1	0	0	0	0	0	1	0	0	0	1	0	0	0
348	343	1	0	0	0	43	11	67	35372.6529033577	0.0619629127091814	15	2	0	1	1	0	0	1	0	0	0	0	0	1	0	0
350	345	3	0	0	2.82485875706215	8	0	19	3955.54895232501	0.105263157894737	3	42	1	0	0	1	0	0	0	1	0	0	1	0	1	0
351	770	18	0	1	0.684931506849315	43	17	2116	11930395.4337596	0.00506821828062225	24	83	1	1	1	0	1	0	0	1	0	0	0	1	0	0
353	180	3	0	0	17.910447761194	43	27	38	3953.93624520852	0.115220483641536	3	5	1	0	0	1	0	0	0	1	0	0	0	1	0	0
354	261	5	1	0	1.16279069767442	12	1	18	2619.54684102569	0.0718954248366013	7	1	1	0	0	1	0	0	0	1	0	0	1	0	1	0
356	281	5	0	0	5.08474576271187	8	18	94	69104.3893806705	0.0478151452756806	9	22	1	1	1	0	0	1	0	1	0	0	1	0	0	0
359	271	4	0	1	1.14942528735632	3	3	1	0	0	3	10	1	0	0	1	0	0	0	1	0	1	0	0	1	0
367	920	5	0	1	0.578034682080925	27	7	366	286297.666076609	0.0523841604910547	21	94	1	1	1	1	0	0	0	1	0	0	1	0	1	0
383	330	4	0	1	9.71428571428571	7	2	29	9783.10057200909	0.0960591133004926	3	3	1	0	1	1	0	0	0	1	0	0	1	0	1	0
394	1502	9	1	1	1.44927536231884	43	16	20	2174.85308413258	0.0736842105263158	8	9	1	0	0	1	0	0	0	1	0	0	0	1	0	0
411	533	3	0	1	0.564971751412429	41	43	11	1057.68554694563	0.0727272727272727	3	18	1	0	0	1	0	0	0	1	0	0	0	1	0	1
412	590	3	0	1	0.571428571428571	41	33	22	2435.06888942737	0	3	34	1	0	0	1	0	0	0	1	0	0	0	1	0	0
415	614	3	0	1	0	21	22	4	63.5022961386968	0	3	56	1	0	0	1	0	0	0	0	0	0	1	0	0	0
435	464	7	0	0	1.69491525423729	43	5	16	1893.11738623861	0.0666666666666667	3	14	1	0	0	1	0	0	0	1	0	0	0	1	1	0
443	313	2	0	1	0	37	23	5	71.0801045457979	0	3	42	1	0	0	1	0	0	0	0	0	0	0	1	0	0
462	464	8	0	1	0	1	32	18	2396.44703457524	0.0196078431372549	4	32	1	0	0	1	0	0	0	0	0	1	0	0	0	0
467	181	3	0	1	1.21212121212121	43	35	66	18501.929983866	0.172027972027972	1	24	1	1	1	1	0	0	0	1	0	0	0	1	0	0
472	3056	10	0	0	4.51977401129944	43	43	184	119039.00351502	0.0588025659301497	53	75	1	1	1	1	0	0	0	1	0	0	0	1	0	1
476	1023	10	1	1	45.9302325581395	43	34	134	35011.3798849875	0.105038716193469	8	24	1	1	1	1	0	0	0	1	0	0	0	1	0	0
477	1020	10	1	1	3.42857142857143	35	20	20	1047.938863635	0.115789473684211	3	28	1	0	0	1	0	0	0	1	0	0	1	0	0	0
480	1029	10	1	1	1.14285714285714	8	36	11	1174.93460105624	0.127272727272727	3	14	1	0	0	1	0	0	0	1	0	0	1	0	0	0
493	1205	12	1	1	0.564971751412429	43	44	56	34333.1295724577	0.0538961038961039	1	27	1	1	1	1	0	0	0	1	0	0	0	1	0	1
495	1035	11	0	0	1.31578947368421	3	1	88	78747.9387964439	0.0237722048066876	1	1	1	1	1	1	0	0	0	1	0	1	0	0	1	0
496	291	2	0	1	0.564971751412429	1	1	5	174.696175786869	0	1	14	1	0	0	0	0	1	0	1	0	1	0	0	1	0
509	298	3	1	0	32.8358208955224	43	27	118	54866.1300084145	0.116036505867014	4	11	1	1	1	1	0	0	0	1	0	0	0	1	0	0
513	168	4	0	0	78.7878787878788	43	43	51	8989.93053998728	0.103529411764706	4	7	1	1	0	1	0	0	0	1	0	0	0	1	0	1
516	136	5	1	1	0.564971751412429	43	36	9	1300.75920070238	0.0277777777777778	6	29	1	0	0	1	0	0	0	1	0	0	0	1	0	0
517	198	5	1	1	8.69565217391304	43	41	3	38.772047144143	0	3	4	1	0	0	1	0	0	0	1	0	0	0	1	0	1
518	142	5	1	1	1.12994350282486	43	36	10	1707.94374055286	0.0444444444444444	3	94	1	0	0	1	0	0	0	1	0	0	0	1	0	0
522	116	2	1	0	39.2857142857143	43	44	45	8223.49334571902	0.126262626262626	4	4	1	1	0	0	1	0	0	1	0	0	0	1	0	1
538	1500	11	0	1	2.25988700564972	39	42	23	3202.81420422965	0.0316205533596838	3	30	1	0	0	1	0	0	0	1	0	0	0	1	0	1
540	1465	11	0	1	1.35135135135135	33	40	16	1885.15434722693	0.0166666666666667	3	8	1	0	0	1	0	0	0	1	0	0	1	0	0	0
546	2492	9	0	0	2.8735632183908	43	44	64	5986.47443264259	0.111111111111111	2	12	1	1	0	1	0	0	0	1	0	0	0	1	0	1
551	164	3	0	0	8.82352941176471	0	0	27	13090.0614156212	0.0284900284900285	18	1	1	0	1	0	0	1	0	1	1	0	0	0	1	0
552	418	5	0	1	0.568181818181818	24	36	4	107.538812338631	0	3	40	1	0	0	0	1	0	0	1	0	0	1	0	0	0
553	424	5	0	1	0	1	1	3	27.5550215509755	0	3	1	1	0	0	0	1	0	0	0	0	1	0	0	1	0
554	371	4	0	1	8.04597701149425	19	20	14	819.731860534056	0.142857142857143	15	14	1	0	0	0	1	0	0	1	0	0	1	0	0	0
593	445	3	0	0	0	43	44	25	2572.79247035522	0.0533333333333333	3	2	1	0	0	1	0	0	0	0	0	0	0	1	0	1
594	392	4	0	0	1.13636363636364	43	43	12	532.718301216837	0.121212121212121	3	1	1	0	0	1	0	0	0	1	0	0	0	1	0	1
596	239	10	0	1	28.9017341040462	40	31	115	68430.2351838058	0.0730739893211289	11	67	1	1	1	0	1	0	0	1	0	0	0	1	0	0
605	231	1	0	1	0.568181818181818	42	38	53	4161.42263844935	0.182148040638607	8	72	0	1	0	0	1	0	0	1	0	0	0	1	0	0
623	353	4	0	0	3.65853658536585	18	38	2	32.8120163496604	0	5	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0
624	391	4	0	0	0	30	16	21	1336.96748572375	0.0476190476190476	5	13	1	0	0	0	0	1	0	0	0	0	1	0	0	0
634	526	7	0	0	0	35	13	21	23187.6632211583	0.147619047619048	2	14	1	0	1	0	1	0	0	0	0	0	1	0	0	0
641	1417	15	0	0	39.7058823529412	12	43	88	18473.5209591934	0.117554858934169	35	3	1	1	1	1	0	0	0	1	0	0	1	0	0	1
642	455	3	0	0	0.598802395209581	43	24	45	10479.8997738629	0.0939393939393939	3	15	1	1	1	1	0	0	0	1	0	0	0	1	0	0
644	296	4	0	0	0	43	40	22	7759.67085739219	0.0606060606060606	3	11	1	0	0	0	1	0	0	0	0	0	0	1	0	0
645	206	2	0	0	0	43	44	14	399.069261461123	0	3	2	1	0	0	1	0	0	0	0	0	0	0	1	0	1
675	3418	8	0	0	7.34463276836158	7	40	91	25907.9689004676	0.073992673992674	14	12	1	1	1	1	0	0	0	1	0	0	1	0	0	0
686	545	4	0	0	1.47058823529412	43	10	13	1598.15243392007	0.0256410256410256	3	42	1	0	0	1	0	0	0	1	0	0	0	1	0	0
695	693	14	0	1	0.675675675675676	35	6	110	62341.565186531	0.0852376980817348	20	6	1	1	1	1	0	0	0	1	0	0	1	0	1	0
706	169	3	0	0	0	43	44	15	1045.16369900931	0.2	3	14	1	0	0	1	0	0	0	0	0	0	0	1	0	1
710	500	7	0	1	0	43	3	19	9142.87220064163	0.0467836257309941	5	38	1	0	1	1	0	0	0	0	0	0	0	1	1	0
713	253	4	0	0	24.2857142857143	43	14	26	5142.85158976013	0.0553846153846154	4	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0
717	752	11	0	0	0	35	0	7	834.634424922297	0.0952380952380952	2	2	1	0	0	1	0	0	0	0	0	0	1	0	1	0
718	1663	20	0	1	5.40540540540541	43	2	47	42702.0078826714	0.032377428307123	28	117	1	1	1	0	1	0	0	1	0	0	0	1	1	0
722	597	3	0	0	0	8	5	14	661.334508645916	0.010989010989011	3	14	1	0	0	1	0	0	0	0	0	0	1	0	1	0
725	252	2	0	0	0	12	38	15	449.032562994618	0.0476190476190476	3	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0
730	843	13	0	1	0	40	38	4	2401.61639079293	0	5	10	1	0	0	0	0	0	1	0	0	0	0	1	0	0
731	584	10	0	1	0	3	36	4	53.2680757239907	0.166666666666667	5	29	1	0	0	0	1	0	0	0	0	1	0	0	0	0
732	591	9	0	1	0	3	2	3	682.816543359112	0	6	14	1	0	0	0	0	1	0	0	0	1	0	0	1	0
733	202	4	0	0	0	20	26	6	757.819918182911	0	5	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0
753	306	3	0	0	1.69491525423729	39	44	50	7629.05976068541	0.04	3	30	1	1	0	0	1	0	0	1	0	0	0	1	0	1
760	260	4	0	1	0.675675675675676	42	18	19	6542.00437928853	0.116959064327485	3	4	1	0	0	1	0	0	0	1	0	0	0	1	0	0
766	264	5	0	1	18.2432432432432	7	36	16	1555.37428612596	0.0682926829268293	3	14	1	0	0	1	0	0	0	1	0	0	1	0	0	0
773	2512	6	0	1	3.48837209302326	10	3	100	101481.123309914	0.00646464646464646	2	59	1	1	1	1	0	0	0	1	0	0	1	0	1	0
779	1873	7	0	1	9.71428571428571	1	1	7	310.530857171636	0	3	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0
783	660	7	0	1	0	37	36	5	108.069164570572	0.5	3	36	1	0	0	1	0	0	0	0	0	0	0	1	0	0
784	484	7	0	1	2.42424242424242	39	36	12	808.095816802152	0.0909090909090909	1	3	1	0	0	1	0	0	0	1	0	0	0	1	0	0
785	520	5	0	1	0	15	40	13	813.620595593128	0.0384615384615385	3	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0
786	222	3	0	0	2.7027027027027	1	36	1	0	0	3	15	1	0	0	0	0	1	0	1	0	1	0	0	0	0
788	301	2	1	0	7.53424657534247	43	32	18	2256.69704831004	0.0588235294117647	3	5	1	0	0	1	0	0	0	1	0	0	0	1	0	0
797	127	5	0	0	2.28571428571429	0	36	1	0	0	3	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0
825	821	12	0	1	0.568181818181818	42	23	22	1484.23760730678	0.0822510822510823	3	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0
833	831	5	0	0	56.3953488372093	43	39	49	6799.08147408599	0.157312925170068	8	4	1	1	0	1	0	0	0	1	0	0	0	1	0	0
846	1088	8	0	1	10.1449275362319	4	4	11	297.600557066688	0.0909090909090909	4	3	1	0	0	1	0	0	0	1	0	1	0	0	1	0
861	480	7	0	1	8.7719298245614	39	37	82	15397.7340708731	0.142728093947606	75	67	1	1	1	0	1	0	0	1	0	0	0	1	0	0
864	429	6	0	1	0.645161290322581	34	6	31	1552.47655374316	0.221505376344086	19	63	1	0	0	0	1	0	0	1	0	0	1	0	1	0
885	115	3	0	0	0	6	4	6	261.844041401169	0.133333333333333	3	14	1	0	0	1	0	0	0	0	0	1	0	0	1	0
886	428	6	0	1	1.81818181818182	4	36	3	139.179580840561	0.666666666666667	3	14	1	0	0	0	1	0	0	1	0	1	0	0	0	0
889	736	3	0	0	3.38983050847458	43	0	17	2409.75374586694	0.0441176470588235	2	1	1	0	0	1	0	0	0	1	0	0	0	1	1	0
892	283	5	0	0	20.1149425287356	43	42	83	20028.0028256984	0.191595650896268	34	2	1	1	1	1	0	0	0	1	0	0	0	1	0	1
908	531	7	1	0	59.1954022988506	43	43	213	88486.9559120944	0.101603330675879	10	29	1	1	1	1	0	0	0	1	0	0	0	1	0	1
915	171	6	0	0	0.675675675675676	32	5	16	1435.98593356188	0.158333333333333	20	64	1	0	0	0	0	1	0	1	0	0	1	0	1	0
916	207	5	0	0	0	38	5	36	8224.19328355126	0.0857142857142857	12	20	1	0	0	0	0	1	0	0	0	0	0	1	1	0
920	458	11	0	0	0	42	5	108	64031.4132071066	0.0692281066112842	30	27	1	1	1	0	0	1	0	0	0	0	0	1	1	0
929	375	3	0	0	0	43	13	32	2713.50902149829	0.00604838709677419	24	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0
932	214	3	0	0	0.564971751412429	3	1	2	0	1	1	1	1	0	0	0	0	0	1	1	0	1	0	0	1	0
947	385	2	0	0	0	42	3	3	830.785990380968	0	3	5	1	0	0	0	0	1	0	0	0	0	0	1	1	0
948	472	3	0	1	0	41	9	22	5105.01442530612	0.0995670995670996	16	20	1	0	0	1	0	0	0	0	0	0	0	1	0	0
959	261	4	0	0	0	12	3	11	19090.8723517433	0.236363636363636	3	34	1	0	1	0	0	1	0	0	0	0	1	0	1	0
963	219	4	0	1	0	43	40	9	730.109925467213	0.25	3	14	1	0	0	0	1	0	0	0	0	0	0	1	0	0
966	128	3	0	0	19.047619047619	43	32	29	19034.9339211723	0.0492610837438424	11	55	1	0	1	0	0	1	0	1	0	0	0	1	0	0
974	230	7	0	0	2.85714285714286	39	5	107	68678.817120837	0.0185152530417916	6	23	1	1	1	0	0	1	0	1	0	0	0	1	1	0
976	835	10	0	1	0.574712643678161	43	6	50	39755.1692397899	0.0448979591836735	2	17	1	1	1	1	0	0	0	1	0	0	0	1	1	0
1019	303	4	0	0	17.1428571428571	43	29	171	105129.35082788	0.0549019607843137	29	100	1	1	1	1	0	0	0	1	0	0	0	1	0	0
1026	198	2	0	0	0.578034682080925	43	35	278	197969.786533866	0.0531906604680155	31	327	1	1	1	0	1	0	0	1	0	0	0	1	0	0
1028	316	2	0	0	0	41	6	23	417.697597127691	0.312252964426877	2	6	1	0	0	0	1	0	0	0	0	0	0	1	1	0
1071	493	5	0	0	3.75	19	36	5	231.644358716031	0	1	14	1	0	0	1	0	0	0	1	0	0	1	0	0	0
1081	147	2	0	0	0	8	1	8	17059.2017372901	0.107142857142857	10	1	1	0	1	0	0	1	0	0	0	0	1	0	1	0
1117	390	5	0	0	4	27	41	2	9.21589985685616	0	3	1	1	0	0	1	0	0	0	1	0	0	1	0	0	1
1121	653	3	1	0	2.27272727272727	43	38	77	12200.2582343374	0.0393028024606972	5	3	1	1	1	1	0	0	0	1	0	0	0	1	0	0
1123	459	9	0	1	0.684931506849315	37	36	15	2863.78505082777	0.0952380952380952	3	2	1	0	0	1	0	0	0	1	0	0	0	1	0	0
1128	460	4	0	1	8.52272727272727	5	6	4	70.0164430286467	0.166666666666667	3	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0
1129	466	4	0	1	0	8	44	12	2957.92348309589	0.0606060606060606	12	9	1	0	0	1	0	0	0	0	0	0	1	0	0	1
1131	590	4	0	1	0.564971751412429	18	33	57	11980.3531399723	0.0100250626566416	3	53	1	1	1	1	0	0	0	1	0	0	1	0	0	0
1132	479	4	0	0	1.35135135135135	8	4	61	11233.2981438453	0.012568306010929	3	14	1	1	1	1	0	0	0	1	0	0	1	0	1	0
1135	529	7	0	1	0.568181818181818	1	36	2	53.9467521673799	0	3	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0
1136	505	7	0	1	0	8	31	28	4636.96794179443	0.0264550264550265	3	14	1	0	0	0	1	0	0	0	0	0	1	0	0	0
1137	627	7	0	1	1.70454545454545	5	36	8	3456.45080006454	0.107142857142857	5	14	1	0	0	0	1	0	0	1	0	1	0	0	0	0
1138	468	7	0	1	0	11	3	8	2523.6492134098	0.0357142857142857	2	3	1	0	0	0	0	1	0	0	0	0	1	0	1	0
1140	501	7	0	1	0.675675675675676	43	38	2	10.3061352432326	0	3	23	1	0	0	0	1	0	0	1	0	0	0	1	0	0
1141	502	8	0	1	2.5	3	36	4	559.238111635224	0.166666666666667	5	13	1	0	0	0	1	0	0	1	0	1	0	0	0	0
1142	458	7	0	1	1.14942528735632	0	3	3	24.6219430204157	0	2	14	1	0	0	0	0	1	0	1	1	0	0	0	1	0
1143	498	7	0	1	1.35135135135135	1	36	6	17148.1230796197	0.2	4	1	1	0	1	0	1	0	0	1	0	1	0	0	0	0
1144	517	7	0	1	0.675675675675676	1	36	53	24805.7007042689	0.0137880986937591	1	14	1	1	1	0	0	1	0	1	0	1	0	0	0	0
1145	493	7	0	1	3.48837209302326	9	36	2	621.208219136023	0	1	9	1	0	0	0	0	1	0	1	0	0	1	0	0	0
1161	396	7	0	0	3.38983050847458	42	36	43	4604.20839383791	0.246954595791805	15	23	1	1	0	1	0	0	0	1	0	0	0	1	0	0
1173	460	6	0	0	43.3526011560694	43	35	219	144474.865582869	0.0626701855808303	37	69	1	1	1	1	0	0	0	1	0	0	0	1	0	0
1180	988	4	0	1	0.675675675675676	2	36	9	145.368656649903	0.25	3	14	1	0	0	1	0	0	0	1	0	1	0	0	0	0
1188	687	4	1	1	0	12	3	16	1555.37428612596	0.0682926829268293	3	14	1	0	0	1	0	0	0	0	0	0	1	0	1	0
1200	563	3	0	0	0.564971751412429	43	40	20	8753.37324512584	0.0947368421052632	3	34	1	0	0	1	0	0	0	1	0	0	0	1	0	0
1201	438	3	0	0	3.97727272727273	43	13	91	18273.5923377164	0.042002442002442	3	2	1	1	1	1	0	0	0	1	0	0	0	1	0	0
1234	352	4	1	0	0	25	36	44	41309.5613090722	0.0634249471458774	8	33	1	1	1	0	1	0	0	0	0	0	1	0	0	0
1244	1545	8	0	0	1.12994350282486	12	24	47	5132.58051405278	0.0434782608695652	3	1	1	1	0	1	0	0	0	1	0	0	1	0	0	0
1270	200	2	0	0	1.69491525423729	7	36	17	2234.23209465963	0.0661764705882353	4	14	1	0	0	0	0	1	0	1	0	0	1	0	0	0
1277	1464	3	0	0	0	43	36	68	34095.4265800542	0.0522388059701493	41	98	1	1	1	1	0	0	0	0	0	0	0	1	0	0
